Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
carbofuran,001563-66-2,,"C12H15NO3;2,2-dimethyl-2,2-dihydrobenzofuranyl-7-N-methylcarbamate;カルボフラン;2,2-ジメチル-2,2-ジヒドロベンゾフラニル-7-N-メチルカルバメート;2,3-dihydro-2,2-dimethyl-7-benzo[b]furanyl N-methylcarbamate;carbofuran;2,2-dimethyl-2,2-dihydrobenzofuranyl-7-N-methylcarbamate,C12H15NO3;2,2",kg,,,,Emissions/air/unspecified,a4c828bf-6323-468b-a328-4110795148d1,,
phorate,000298-02-2,,"C7H17O2PS3;O,O-diethyl S-ethylmercaptomethyl dithiophosphate,C7H17O2PS3;O,O-diethyl S-ethylmercaptomethyl dithiophosphate",kg,,,,Emissions/air/unspecified,b19d75f9-b0f6-4b22-b9e5-ad1ba26ce983,,
triallate,002303-17-5,,"C10H16Cl3NOS;2,3,3-trichloro-2-propene-1-thiol diisopropylcarbamate,C10H16Cl3NOS;2,3,3-trichloro-2-propene-1-thiol diisopropylcarbamate",kg,,,,Emissions/air/unspecified,7b1142f0-7f20-4aa2-8e12-1bdbe4deaf60,,
trifluralin,001582-09-8,,"C13H16F3N3O4;2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)-benzamine;トリフルラリン;2,6-ジニトロ-Ｎ,N-ジプロピル-4-(トリフルオロメチル)アニリン;a,a,a-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine;trifluralin;2,6-dinitro-N,N-dipropyl-4-(trifluoromethyl)-benzamine,C13H16F3N3O4;2,6-Dinit",kg,,,,Emissions/air/unspecified,1a7c3965-2e57-43f7-b522-709262a9878e,,
cypermethrin,052315-07-8,,"C22H19Cl2NO3;3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester;シペルメトリン;alpha-cyano-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate;cypermethrin,C22H19Cl2NO3;3-(2,2-Dichloroethenyl)",kg,,,,Emissions/air/unspecified,a00e2cac-cc24-4bce-ad48-f2f2e2e6cb6b,,
carbaryl,000063-25-2,,"C12H11NO2;1-naphthalenol methylcarbamate;N-メチルカルバミン酸1-ナフチル;NAC;1-ナフチル-N-メチルカルバメート;carbaryl;1-naphthyl N-methylcarbamate;NAC;1-naphthalenol methylcarbamate,C12H11NO2;1-naphthalenol methylcarbamate;N-メチルカルバミン酸1-ナフチル;NAC;1-ナフチル-N-メチルカルバメート;carbaryl;1-naphthy",kg,,,,Emissions/air/unspecified,bee82e5e-ab6a-4366-a9d9-72f3d3ea5841,,
disulfoton,000298-04-4,,"C8H19O2PS3;O,O-diethyl S-(2-(ethylthio)ethyl) phosphorodithioate;エチルチオメトン;ジスルホトン;O,O-diethyl S-2-(ethylthio)ethyl phosphorodithioate;ethylthiometon;disulfoton,C8H19O2PS3;O,O-diethyl S-(2-(ethylthio)ethyl) phosphorodithioate;エチルチオメトン;ジスルホトン;O,O-diethyl S-2",kg,,,,Emissions/air/unspecified,c2e93347-a269-4f0c-8d7d-c0e500f3931b,,
malathion,000121-75-5,,"C10H19O6PS2;1,2-di(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;1,2-ジ(エトキシカルボニル)エチル O,O-ジメチルホスホロジチオアート;マラチオン;O,O-dimethyl-S-(1,2-dicarbethoxyethyl) phosphorodithioate;1,2-di(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;malathion,C10H19O6PS",kg,,,,Emissions/air/unspecified,8084f2d5-f5ac-43d4-b229-6ed686eb7b53,,
chlorpyrifos,002921-88-2,,"C9H11Cl3NO3PS;O,O-diethyl O-(3,5,6-trichloro-2-pyridinyl) phosphorothioic acid;クロルピリホス;O,O-diethyl O-3,5,6-trichloro-2-pyridyl phosphorothioate;chlorpyrifos,C9H11Cl3NO3PS;O,O-diethyl O-(3,5,6-trichloro-2-pyridinyl) phosphorothioic acid;クロルピリホス;O,O-diethyl",kg,,,,Emissions/air/unspecified,0db0975f-ef02-4ead-968c-df97815e489e,,
paraquat,004685-14-7,,"1,1'-ジメチル-4,4'-ビピリジニウム塩;1,1'-ジメチル-4,4'-ビピリジニウム;paraquat;1,1'-dimethyl-4,4'-bipyridinium salts (except paraquauat dichloride);1,1'-dimethyl-4,4'-bipyridinium,1,1'-ジメチル-4,4'-ビピリジニウム塩;1,1'-ジメチル-4,4'-ビピリジニウム;paraquat;1,1'-dimethyl-4,4'-bipyridinium salts (exc",kg,,,,Emissions/air/unspecified,d6844e45-3caf-4512-8feb-5e790eaa082e,,
ammonia,007664-41-7,,"NH3;アンモニア;NH3;ammonia,NH3;アンモニア;NH3;ammonia",kg,,,,Emissions/air/unspecified,ab4c96d6-8f9b-4eab-bfad-48a854b5a8f5,,
ethylene,000074-85-1,,"C2H4;Ethene;エテン;ethylene;ethene,C2H4;Ethene;エテン;ethylene;ethene",kg,,,,Emissions/air/unspecified,8b2881f5-ea7c-4a08-a51e-ffb044764f90,,
ethanol,000064-17-5,,"C2H6O;Ethyl alcohol;エタノール;ethyl alcohol;ethanol,C2H6O;Ethyl alcohol;エタノール;ethyl alcohol;ethanol",kg,,,,Emissions/air/unspecified,34cf2050-b60e-48bf-b9d7-89adf607d592,,
acetone,000067-64-1,,"C3H6O;2-propanone;ジメチルケトン;2-プロパノン;acetone;dimethylketone;2-propanone,C3H6O;2-propanone;ジメチルケトン;2-プロパノン;acetone;dimethylketone;2-propanone",kg,,,,Emissions/air/unspecified,017e0eec-d4be-45ba-8673-a6362fa687fa,,
ethylene glycol,000107-21-1,,"C2H6O2;1,2-dihydroxyethane;1,2-エタンジオール;1,2-ジヒドロエタン;グリコール;ethylene glycol;1,2-ethanediol;1,2-dihydorxyethane;glycol,C2H6O2;1,2-dihydroxyethane;1,2-エタンジオール;1,2-ジヒドロエタン;グリコール;ethylene glycol;1,2-ethanediol;1,2-dihydorxyethane;glycol",kg,,,,Emissions/air/unspecified,eee7f8ae-ae4e-48f4-b0bb-8a044cb4436e,,
alcohols (average),,,"アルコール類;alcohols (average);alcohols,アルコール類;alcohols (average);alcohols",kg,,,,Emissions/air/unspecified,341a1e42-4a8e-45bd-ab7e-8b2aa0e19448,,
H2SO4,,,H2SO4;sulphuric acid;sulfuric acid,kg,,,,Emissions/air/unspecified,7de56bd4-00d3-4786-a01d-96eac275a5d3,,
copper,,,,kg,,,,Emissions/air/unspecified,1538b901-34b0-4fef-8a84-c5b8003b4aa6,,
cobalt,,,Co;コバルト（資源）;Co reserves;cobalt reserves,kg,Element or Compound,,,Emissions/air/unspecified,49b61826-2123-4b94-ad07-c5bcf81d00f1,,
"2,3,7,8-tetrachlorodibenzo-p-dioxin",001746-01-6,,"C12H4Cl4O2;2,3,7,8 - TCDD;2,3,7,8-TCDD;ダイオキシン;2,3,7,8-tetrachlorodibenzo-p-dioxin;2,3,7,8-TCDD;dioxin,C12H4Cl4O2;2,3,7,8 - TCDD;2,3,7,8-TCDD;2,3,7,8-tetrachlorodibenzo-p-dioxin;2,3,7,8-TCDD;dioxin",kg,Element or Compound,,,Emissions/air/unspecified,87e6faf8-7baf-4076-ad48-d865afa32b48,,
hydrogen sulfide,007783-06-4,,"H2S;Hydrogen sulphide;H2S;hydrogen sulphide;H2S,H2S;Hydrogen sulphide;H2S;hydrogen sulphide;H2S",kg,Element or Compound,,,Emissions/air/unspecified,7ce19ec5-c00a-4174-a1f0-709f7e02c6c5,,
simazine,000122-34-9,,"C7H12ClN5;1-chloro-3,5-bisethylamino-2,4,6-triazine;シマジン;1-クロロ-3,5-ビスエチルアミノ-2,4,6-トリアジン;CAT;2-chloro-4,6-bis(ethylamino)-1,3,5-triazine;simazine;1-chloro-3,5-bisethylamino-2,4,6-triazine;CAT,C7H12ClN5;1-chloro-3,5-bisethylamino-2,4,6-triazine;シマジン;1-クロロ-3",kg,,,,Emissions/air/unspecified,d903b03c-dac6-462b-9c5e-321d5f9f21af,,
cyanazine,021725-46-2,,"C9H13ClN6;2-[[4-chloro-6-(ethylamino)-1,3,5-triazin-2-yl]amino]-2-methylpropanenitrile;1,3,5-トリアジン, 2-クロロ-4-(エチルアミノ)-6-(シアノ-1-メチル)-(エチルアミノ)-;2-(4-chloro-6-ethylamino-1,3,5-triazin-2-yl)amino-2-methylpropiononitrile;1,3,5-triazine, 2-chloro-4-(ethylamino)-",kg,,,,Emissions/air/unspecified,d785a5ef-a451-4d41-b3e2-1d2460b0c2b3,,
dimethenamid,087674-68-8,,"C12ClNO2S;2-chloro-N-((1-methyl-2-methoxy)-ethyl)-N-(2,4-dimethyl-thien-3-yl)acetamide,C12ClNO2S;2-chloro-N-((1-methyl-2-methoxy)-ethyl)-N-(2,4-dimethyl-thien-3-yl)acetamide",kg,,,,Emissions/air/unspecified,f57e4b69-d61a-4dbf-947c-d87ae816b430,,
terbufos,013071-79-9,,"C9H21O2PS3;O,O-diethyl S-(((1,1-dimethylethyl)thio)methyl) phosphorodithoic acid,C9H21O2PS3;O,O-diethyl S-(((1,1-dimethylethyl)thio)methyl) phosphorodithoic acid",kg,,,,Emissions/air/unspecified,9c086150-3557-4af5-bf3d-06da92d83932,,
bentazone,025057-89-0,,"C10H12N2O3S;3-isopropyl-1H-2,1,3-benzothiadiazin-4(3H)-one-2,2-dioxide,C10H12N2O3S;3-isopropyl-1H-2,1,3-benzothiadiazin-4(3H)-one-2,2-dioxide",kg,,,,Emissions/air/unspecified,225ce9f6-d3e7-4ca9-bd69-7327e0385701,,
pendimethalin,040487-42-1,,"C13H19N3O4;ペンディメタリンン;N-(1-ethylpropyl)-2,6-dinitro-3,4-xylidine;pendimethalin,C13H19N3O4;ペンディメタリンン;N-(1-ethylpropyl)-2,6-dinitro-3,4-xylidine;pendimethalin",kg,,,,Emissions/air/unspecified,8ccb2e8b-ec48-4825-ba65-72d592d2d7f0,,
metolachlor,051218-45-2,,"C15H22ClNO2;2-chloro-6'-ethyl-N-(2-methoxy-1-methylethyl)-o-acetoluidide;メトラクロール;2-chloro-2'-ethyl-N-(2-methoxy-1-methylethyl)-6'-methylacetanilide;metolachlor,C15H22ClNO2;2-chloro-6'-ethyl-N-(2-methoxy-1-methylethyl)-o-acetoluidide;メトラクロール;2-chloro-2'-et",kg,,,,Emissions/air/unspecified,63bc8183-9e0d-4f0d-8778-de5ef02430a0,,
acetochlor,034256-82-1,,"C14H20ClNO2;2-chloro-2'-methyl-6'-ethyl-N-ethoxymethyl-acetanilide,C14H20ClNO2;2-chloro-2'-methyl-6'-ethyl-N-ethoxymethyl-acetanilide",kg,,,,Emissions/air/unspecified,97979422-fa10-4f1f-b176-b794a3d5eacd,,
acifluorfen,050594-66-6,,"C14H8ClF3NO2;2-nitro-5-(2-chloro-4-(trifluoromethyl)phenoxy)benzoic acid,C14H8ClF3NO2;2-nitro-5-(2-chloro-4-(trifluoromethyl)phenoxy)benzoic acid",kg,,,,Emissions/air/unspecified,c415b076-990c-4470-b2c2-413ba218bbfc,,
azinphos-methyl,000086-50-0,,"C10H12N3O3PS2;O,O-dimethyl S-(1,2,3-benzotriazinyl-4-keto)methyl phosphorodithioate,C10H12N3O3PS2;O,O-dimethyl S-(1,2,3-benzotriazinyl-4-keto)methyl phosphorodithioate",kg,,,,Emissions/air/unspecified,4967595d-34f9-4e52-9a90-6bc04d3cbb58,,
acetamide,000060-35-5,,"C2H5NO,C2H5NO",kg,,,,Emissions/air/unspecified,1c3aeea4-6b94-43b1-a0e7-808f9fa09fd0,,
acephate,030560-19-1,,"C4H10NO3PS;Orthene,C4H10NO3PS;Orthene",kg,,,,Emissions/air/unspecified,47f6ed0f-a1c5-4b45-8fc6-f35d40e2847a,,
azoxystrobin,131860-33-8,,"C22H17N3O5;pyroxystrobin,C22H17N3O5;pyroxystrobin",kg,,,,Emissions/air/unspecified,e300b165-8b01-4618-a0a6-70d6024a3954,,
imazaquin,081335-37-7,,"C17H17N3O3;2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-3-quinolinecarboxylic acid,C17H17N3O3;2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-3-quinolinecarboxylic acid",kg,,,,Emissions/air/unspecified,9430def3-4943-4f2f-8b6f-331bae69728b,,
imazamox,114311-32-9,,"C15H19N3O4;2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-5-(methoxymethyl)-3-pyridinecarboxylic acid,C15H19N3O4;2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-5-(methoxymethyl)-3-pyridinecarboxylic acid",kg,,,,Emissions/air/unspecified,6e79eb36-ef04-4e46-a4e3-3d92dab45726,,
esfenvalerate,066230-04-4,,"C25H22ClNO3;Cyano-3-phenoxybenzyl (S)-2-(4-chlorophenyl)-3-methylbutyrate,C25H22ClNO3;Cyano-3-phenoxybenzyl (S)-2-(4-chlorophenyl)-3-methylbutyrate",kg,,,,Emissions/air/unspecified,abdd78a8-a109-466e-84b2-c870aa6f79a0,,
ethalfluralin,055283-68-6,,"C13F3N3O4;N-ethyl-N-(2-methyl-2-propenyl)-2,6-dinitro-4-(trifluoromethyl)benzenamine,C13F3N3O4;N-ethyl-N-(2-methyl-2-propenyl)-2,6-dinitro-4-(trifluoromethyl)benzenamine",kg,,,,Emissions/air/unspecified,7b701aba-202c-4c9d-8c78-4865950e6bec,,
ethephon,016672-87-0,,"C2H6ClO3P;2-chloroethanephosphonic acid,C2H6ClO3P;2-chloroethanephosphonic acid",kg,,,,Emissions/air/unspecified,394d263a-a931-4699-9091-5ac4fb1bdd5f,,
endosulfan,000115-29-7,,"C9H6Cl6O3S;1,2,3,4,7,7-hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-benzodioxathiepin-3-oxide;エンドスルファン;6,7,8,9,10,10-ヘキサクロロ-1,5,5a,6,9,9a-ヘキサヒドロ-6,9-メタノ-2,4,3-ベンゾジオキサチエピン=3-オキシド;チオスルファン;benzoepin;endosulfan;6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-h",kg,,,,Emissions/air/unspecified,c695fc26-be43-43d2-99fb-b0076b24a4c4,,
oxamyl,023135-22-0,,"C7H13N3O3S,C7H13N3O3S",kg,,,,Emissions/air/unspecified,71d2430d-8705-4d7a-ad3c-eff59caa823c,,
atrazine,001912-24-9,,"C8H14ClN5;1-chloro-3-ethylamino-5-isopropylamino-2,4,6-triazine;アトラジン;2-chloro-4-ethylamino-6-isopropylamino-1,3,5-triazine;atrazine,C8H14ClN5;1-chloro-3-ethylamino-5-isopropylamino-2,4,6-triazine;アトラジン;2-chloro-4-ethylamino-6-isopropylamino-1,3,5-triazin",kg,,,,Emissions/air/unspecified,3aaa3e19-5942-4a48-9d17-c032259e2214,,
quizalofop-ethyl,076578-14-8,,"C19H17ClN2O4;Ethyl 2-(4-(6-chloro-2-quinoxalyloxy)phenoxy)propionate;キザロホップエチル;ethyl 2-[4-(6-chloro-2-quinoxzlinyloxy)phenoxy]propionate;quizalofop-ethyl,C19H17ClN2O4;Ethyl 2-(4-(6-chloro-2-quinoxalyloxy)phenoxy)propionate;キザロホップエチル;ethyl 2-[4-(6-chloro-2",kg,,,,Emissions/air/unspecified,dd5d7af6-72b3-462f-bde4-371a973e6b49,,
clomazone,081777-89-1,,"C12H14ClNO2;2-((2-chlorophenyl)methyl)-4,4-dimethyl-3-isoxazolidinone,C12H14ClNO2;2-((2-chlorophenyl)methyl)-4,4-dimethyl-3-isoxazolidinone",kg,,,,Emissions/air/unspecified,6c7ad421-739a-45fb-8c11-56859d89dc33,,
chlorimuron-ethyl,090982-32-4,,"C15H15ClN4O6S;2-[[[[(4-chloro-6-methoxy-2-pyrimidinyl)amino]carbonyl]amino]sulfonyl]benzoic acid ethyl ester; 2-[[[[(4-chloro-6-methoxy-2-pyrimidinyl)amino]carbonyl]amino]sulphonyl]benzoic acid ethyl ester,C15H15ClN4O6S;2-[[[[(4-chloro-6-methoxy-2-pyrimid",kg,,,,Emissions/air/unspecified,9ac6bc01-8cd9-4eaf-adab-0a296fcecc42,,
chlorothalonil,001897-45-6,,"C8Cl4N2;1,3-dicyano-2,4,5,6-tetrachlorobenzene;クロロタロニル;TPN;tetrachloroisophthalonitrile;chlorothalonil;TPN,C8Cl4N2;1,3-dicyano-2,4,5,6-tetrachlorobenzene;クロロタロニル;TPN;tetrachloroisophthalonitrile;chlorothalonil;TPN",kg,,,,Emissions/air/unspecified,67176250-6a58-467c-a452-6c3cebc8bf94,,
diazinon,000333-41-5,,"C12H21N2O3PS;O,O-diethyl O-(2-isopropyl-4-methyl-6-pyrimidinyl) thiophosphoric acid;ダイアジノン;O,O-diethyl O-2-isopropyl-6-methyl-4-pyrimidinyl phosphorothioate;diazinon,C12H21N2O3PS;O,O-diethyl O-(2-isopropyl-4-methyl-6-pyrimidinyl) thiophosphoric acid;ダイアジノ",kg,,,,Emissions/air/unspecified,3cdd480e-b3b1-4b69-9cdc-0259bdb474f2,,
cyfluthrin,068359-37-5,,"C22H18Cl2FNO3;cyano(4-fluoro-3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate,C22H18Cl2FNO3;cyano(4-fluoro-3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate",kg,,,,Emissions/air/unspecified,f07fb809-971b-4f80-9b55-dff27aac3cb1,,
diflubenzuron,035367-38-5,,"C14H9ClF2N2O2;1-(4-chlorophenyl)-3-(2,6-difluorobenzoyl)urea,C14H9ClF2N2O2;1-(4-chlorophenyl)-3-(2,6-difluorobenzoyl)urea",kg,,,,Emissions/air/unspecified,4b65ceed-d4be-4c77-8b94-4c1c476c2734,,
sulfentrazone,122836-35-5,,"C11H10Cl2F2N4O3S,C11H10Cl2F2N4O3S",kg,,,,Emissions/air/unspecified,7c6554e9-1ef4-4c91-930b-c43fd5868739,,
sethoxydim,074051-80-2,,"C17H29NO3S;2-[1-(ethoximino)butyl]-5-[2-(ethylthio)-propyl]-3-hydroxy-2-cyclohexen-1-one,C17H29NO3S;2-[1-(ethoximino)butyl]-5-[2-(ethylthio)-propyl]-3-hydroxy-2-cyclohexen-1-one",kg,,,,Emissions/air/unspecified,ee556b47-5403-4602-911a-084545f40e6a,,
thiodicarb,059669-26-0,,"C10H18N4O4S3;Bis[1-methylthioacetaldehyde-O-(N-methylcarbamoyl)oximino]sulphide; Bis[1-methylthioacetaldehyde-O-(N-methylcarbamoyl)oximino]sulfide,C10H18N4O4S3;Bis[1-methylthioacetaldehyde-O-(N-methylcarbamoyl)oximino]sulphide; Bis[1-methylthioacetaldehyd",kg,,,,Emissions/air/unspecified,55ef3b2f-e183-4081-8025-02aadfddd633,,
thiobencarb,028249-77-6,,"C12H16ClNOS;4-chlorobenzyl diethylthiolcarbamate;Ｎ,Ｎ-ジエチルチオカルバミン酸S-4-クロロベンジル;チオベンカルブ;ベンチオカルブ;S-4-chlorobenzyl n,n-diethylthiocarbamate;N,N-diethylthiocarbamate;thiobencarb;benthiocarb,C12H16ClNOS;4-chlorobenzyl diethylthiolcarbamate;Ｎ,Ｎ-ジエチルチオカルバミン酸S-4-クロ",kg,,,,Emissions/air/unspecified,d4cbc691-32df-4b44-9160-b8f46184e19f,,
tributylphosphorotrithioate,000078-48-8,,"C12H27OPS3;S,S,S-tributyltrithiophosphate,C12H27OPS3;S,S,S-tributyltrithiophosphate",kg,,,,Emissions/air/unspecified,ffdfdf22-ebcb-4e18-afce-a104f28c4f37,,
fluazifop-p-butyl,079241-46-6,,"C19H20F3NO4;Butyl (R)-2-(4-((5-(trifluoromethyl)-2-pyridinyl)oxy)phenoxy)propanoate,C19H20F3NO4;Butyl (R)-2-(4-((5-(trifluoromethyl)-2-pyridinyl)oxy)phenoxy)propanoate",kg,,,,Emissions/air/unspecified,846dc8b1-0896-4be4-8d2d-edd798e78b6d,,
fluometuron,002164-17-2,,"C10H11F3N2O;N,N-dimethyl-N'- 3-(trifluoromethyl)phenyl urea,C10H11F3N2O;N,N-dimethyl-N'- 3-(trifluoromethyl)phenyl urea",kg,,,,Emissions/air/unspecified,0c40e76e-3563-40b5-959d-53699c9d1b01,,
flufenacet,142459-58-3,,"C14H13F4N3O2S,C14H13F4N3O2S",kg,,,,Emissions/air/unspecified,fdb18528-ad94-455c-9812-c87160cc9943,,
flumiclorac-pentyl,087546-18-7,,"C21H23O5NFCl;Pentyl (2-chloro-4-fluoro-5-(1,3,4,5,6,7-hexahydro-1,3-dioxo-2H-isoindol-2-yl)phenoxy)acetate,C21H23O5NFCl;Pentyl (2-chloro-4-fluoro-5-(1,3,4,5,6,7-hexahydro-1,3-dioxo-2H-isoindol-2-yl)phenoxy)acetate",kg,,,,Emissions/air/unspecified,236be7bc-8f27-4843-ac9d-71bd0a8b7af1,,
flumetsulam,098967-40-9,,"C12H9F2N5O2S;N-(2,6-difluorophenyl)-5-methyl-(1,2,4)triazolo(1,5-a)pyrimidine-2-sulphonamide; N-(2,6-difluorophenyl)-5-methyl-(1,2,4)triazolo(1,5-a)pyrimidine-2-sulfonamide,C12H9F2N5O2S;N-(2,6-difluorophenyl)-5-methyl-(1,2,4)triazolo(1,5-a)pyrimidine-2-su",kg,,,,Emissions/air/unspecified,ecc5de92-753d-4b27-a5d8-f973ccef5911,,
propanil,000709-98-8,,"C9H9Cl2NO;3',4'-dichloropropionanilide;プロパニル;DCPA;3',4'-dichloropropionanilide;propanil;DCPA,C9H9Cl2NO;3',4'-dichloropropionanilide;DCPA;3',4'-dichloropropionanilide;propanil;DCPA",kg,,,,Emissions/air/unspecified,287cc3d8-6426-4c07-bd95-9a727de88047,,
propiconazole,060207-90-1,,"C15H17Cl2N3O2;1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1H-1,2,4-triazole,C15H17Cl2N3O2;1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1H-1,2,4-triazole",kg,,,,Emissions/air/unspecified,9d84210a-1f3c-4cde-b7ca-4e3f4a09dcbc,,
prometryn,007287-19-6,,"C10H19N5S;2,4-bis(isopropylamino)-6-methylthio-1,3,5-triazine,C10H19N5S;2,4-bis(isopropylamino)-6-methylthio-1,3,5-triazine",kg,,,,Emissions/air/unspecified,ed8c8d1d-0e33-412f-b063-3fe05f36871a,,
permethrin,052645-53-1,,"C21H20Cl2O3;ペルメトリン;3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate;permethrin,C21H20Cl2O3;ペルメトリン;3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate;permethrin",kg,,,,Emissions/air/unspecified,12cc0d13-fa18-40bf-ae5a-cf07c033ed4c,,
molinate,002212-67-1,,"C9H17NOS;モリネート;S-ethyl hexahydro-1H-azepine-1-carbothioate;molinate,C9H17NOS;S-ethyl hexahydro-1H-azepine-1-carbothioate;molinate",kg,,,,Emissions/air/unspecified,7cdb3769-6ce7-4f76-83b2-4e2bc18bba9b,,
lactofen,077501-63-4,,"C19H15ClF3NO7;2-ethoxy-1-methyl-2-oxoethyl 5-(2-chloro-4-(trifluoromethyl)phenoxy)-2-nitrobenzoate,C19H15ClF3NO7;2-ethoxy-1-methyl-2-oxoethyl 5-(2-chloro-4-(trifluoromethyl)phenoxy)-2-nitrobenzoate",kg,,,,Emissions/air/unspecified,e86b28e2-532a-4ed3-9c1d-26100d4a17a9,,
linuron,000330-55-2,,"C9H10Cl2N2O2;1-Methoxy-1-methyl-3-(3,4-dichlorophenyl)urea;リニュロン;3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea;linuron,C9H10Cl2N2O2;1-Methoxy-1-methyl-3-(3,4-dichlorophenyl)urea;3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea;linuron",kg,,,,Emissions/air/unspecified,a57b86bb-ed31-460a-a6c8-a666faba7bb5,,
nitrogen dioxide,010102-44-0,,"NO2;二酸化窒素;二酸化窒素(NO2);NO2;nitrogen dioxide;nitrogen peroxide,NO2;nitrogen dioxide;nitrogen peroxide",kg,,,,Emissions/air/unspecified,f70f3051-a18c-425a-9952-dd0b2896da65,,
"1,3-dichloropropene",000542-75-6,,"C3H4Cl2;1,3-ジクロロ-1-プロピレン;D-D;1,3-dichloropropene;1,3-dichloro-1-propylene;D-D,C3H4Cl2;D-D;1,3-dichloropropene;1,3-dichloro-1-propylene;D-D",kg,,,,Emissions/air/unspecified,1f2918fa-367a-46ca-9640-0b8d6fa7e403,,
aldicarb,000116-06-3,,"C7H14N2O2S;2-methyl-2-(methylthio)propanal O-[(methylamino)carbonyl]oxime,C7H14N2O2S;2-methyl-2-(methylthio)propanal O-[(methylamino)carbonyl]oxime",kg,,,,Emissions/air/unspecified,b8b1dce7-be1a-45f6-8816-c15056aac7be,,
ethoprophos,013194-48-4,,"C8H19O2PS2;O-ethyl S,S-dipropyl dithiophosphate,C8H19O2PS2;O-ethyl S,S-dipropyl dithiophosphate",kg,,,,Emissions/air/unspecified,c2b76360-ab67-4100-934c-c6321c31a741,,
lasso,015972-60-8,,"C14H20ClNO2;2-chloro-2',6'-diethyl-N-(methoxymethyl)acetanilide;アラクロール;2-chloro-2',6'-diethyl-N-(methoxymethyl)acetanilide;alachlor,C14H20ClNO2;2-chloro-2',6'-diethyl-N-(methoxymethyl)acetanilide;アラクロール;2-chloro-2',6'-diethyl-N-(methoxymethyl)acetanilide;",kg,,,,Emissions/air/unspecified,157e8b69-b92b-4f05-8b85-d0058f4c1241,,
pursuit,081335-77-5,,"C15H19N3O3;2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-5-ethyl-3-pyridinecarboxylic acid,C15H19N3O3;2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-5-ethyl-3-pyridinecarboxylic acid",kg,,,,Emissions/air/unspecified,5807acd2-ea7f-465c-92aa-79385b53171d,,
s-ethyl dipropylthiocarbamate,000759-94-4,,"C9H19NOS;EPTC,C9H19NOS;EPTC",kg,,,,Emissions/air/unspecified,88e740cf-9f0d-48ab-832f-e42ad71363ec,,
thifensulfuron-methyl,079277-27-3,,"C12H13N5O6S2,C12H13N5O6S2",kg,,,,Emissions/air/unspecified,9c69baa2-9361-4256-940f-8cb79cdffce3,,
norflurazon,027314-13-2,,"C12H9ClF3N3O;4-chloro-5-(methylamino)-2-[3-(trifluoromethyl)phenyl]-3(2H)-pyridazinone,C12H9ClF3N3O;4-chloro-5-(methylamino)-2-[3-(trifluoromethyl)phenyl]-3(2H)-pyridazinone",kg,,,,Emissions/air/unspecified,725c0ad3-b548-4e02-87ff-6b7ea80c7636,,
fenoxaprop-ethyl,066441-23-4,,"C18H16ClNO5;Ethyl 2-(4-((6-chloro-2-benzoxazolyl)oxy)phenoxy)propanoate,C18H16ClNO5;Ethyl 2-(4-((6-chloro-2-benzoxazolyl)oxy)phenoxy)propanoate",kg,,,,Emissions/air/unspecified,c41d183c-eb10-4dfc-9651-c071d6012f6a,,
Halon-1001,000074-83-9,,"CH3Br;Bromomethane;臭化メチル;モノブロモメタン;bromomethane;methyl bromide;monobromomethane,CH3Br;Bromomethane;臭化メチル;モノブロモメタン;bromomethane;methyl bromide;monobromomethane",kg,,,,Emissions/air/unspecified,eb35b786-b98f-4695-9403-237d5cf333ca,,
