Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
hafnium,007440-58-6,,"Hf;ハフニウム（資源）;Hf reserves;hafnium reserves,Hf;ハフニウム（資源）;Hf reserves;hafnium reserves",kg,,,,Resources/ground/Non-renewable element resources,9968150e-7e94-4160-b8e4-dd8ea5f31899,,
mercury,007439-97-6,,"Hg;Hg;mercury,Hg;Hg;mercury",kg,,,,Resources/ground/Non-renewable element resources,4be0a586-4448-4010-998a-ad6a2869503c,,
holmium,007440-60-0,,"Ho;ホルミウム（資源）;Ho reserves;holmium reserves,Ho;ホルミウム（資源）;Ho reserves;holmium reserves",kg,,,,Resources/ground/Non-renewable element resources,dfe779e1-4c05-4c60-a569-806abe76b2ab,,
iodine,007553-56-2,,"I2;ヨウ素（資源）;I2 reserves;iodine reserves,I2;ヨウ素（資源）;I2 reserves;iodine reserves",kg,,,,Resources/ground/Non-renewable element resources,a825646e-7f2b-452c-a036-6ae423cfff38,,
indium,007440-74-6,,"In;インジウム（資源）;In reserves;indium reserves,In;インジウム（資源）;In reserves;indium reserves",kg,,,,Resources/ground/Non-renewable element resources,bea1eddd-562f-4f97-b70a-d3b161c2abb0,,
iridium,007439-88-5,,"Ir;イリジウム（資源）;Ir reserves;iridium reserves,Ir;イリジウム（資源）;Ir reserves;iridium reserves",kg,,,,Resources/ground/Non-renewable element resources,09b23d44-2608-4dd4-8754-963458aa646c,,
potassium,007440-09-7,,"K,K",kg,,,,Resources/ground/Non-renewable element resources,6bab60bf-c943-4688-afff-7e8afe25ec37,,
lanthanum,007439-91-0,,"La;ランタン（資源）;La reserves;lanthanum reserves,La;ランタン（資源）;La reserves;lanthanum reserves",kg,,,,Resources/ground/Non-renewable element resources,ecd7d9ae-c51c-47eb-aafd-e429420981eb,,
lithium,007439-93-2,,"Li;リチウム（資源）;Li reserves;lithium reserves,Li;リチウム（資源）;Li reserves;lithium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ef47b617-9aa2-4b3a-a2f4-84e51cd27542,,
lutetium,007439-94-3,,"Lu;ルテチウム（資源）;Lu reserves;lutetium reserves,Lu;ルテチウム（資源）;Lu reserves;lutetium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,5e0f86ba-7a8f-4115-9521-3b7ba95ed90b,,
magnesium,007439-95-4,,"Mg;マグネシウム（資源）;Mg reserves;magnesium reserves,Mg;マグネシウム（資源）;Mg reserves;magnesium reserves",kg,,,,Resources/ground/Non-renewable element resources,c3501bb9-eb74-4f6e-99b6-097eae15f97e,,
manganese,007439-96-5,,"Mn;マンガン（資源）;Mn reserves;manganese reserves,Mn;マンガン（資源）;Mn reserves;manganese reserves",kg,,,,Resources/ground/Non-renewable element resources,f8fc16d8-0e67-4cf3-8610-ef30027d9a42,,
molybdenum,007439-98-7,,"Mo;モリブデン（資源）;Mo reserves;molybdenum reserves,Mo;モリブデン（資源）;Mo reserves;molybdenum reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,1444ffb9-d66c-483f-9fe5-b2147ad007c3,,
sodium,007440-23-5,,"Na;ナトリウム（資源）;Na reserves;sodium reserves,Na;ナトリウム（資源）;Na reserves;sodium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ea38f710-24b2-4fab-97d0-371ff3223ca1,,
niobium,007440-03-1,,"Nb,Nb",kg,,,,Resources/ground/Non-renewable element resources,a47dc3a4-25c5-45f9-a6f5-52d965cfc961,,
neodymium,007440-00-8,,"Nd;ネオジム（資源）;Nd reserves;neodymium reserves,Nd;ネオジム（資源）;Nd reserves;neodymium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,956236fb-ef54-4e68-b259-b411093e80fb,,
nickel,007440-02-0,,"Ni;Ni;nickel;Ni,Ni;Ni;nickel;Ni",kg,Geological,,,Resources/ground/Non-renewable element resources,5a74ef72-49d8-42fe-8b7a-264dd43679df,,
osmium,007440-04-2,,"Os,Os",kg,Geological,,,Resources/ground/Non-renewable element resources,9995d561-5305-43f0-9f00-8c6a603aec4a,,
phosphorus,007723-14-0,,"P;phosphorus,P;phosphorus",kg,,,,Resources/ground/Non-renewable element resources,03d106aa-5320-4b1c-9607-6c3a0812ac5d,,
protactinium,007440-13-3,,"Pa;プロタクチニウム（資源）;Pa reserves;protactinium reserves,Pa;プロタクチニウム（資源）;Pa reserves;protactinium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,5501d336-ac25-4245-882a-d28dd7f8901e,,
lead,007439-92-1,,"Pb;鉛;Pb;lead,Pb;鉛;Pb;lead",kg,,,,Resources/ground/Non-renewable element resources,9bf0835b-b30c-4204-96d2-c022bab05775,,
palladium,007440-05-3,,"Pd,Pd",kg,Geological,,,Resources/ground/Non-renewable element resources,bf5e86c2-048d-4c97-9892-1863396c371d,,
polonium,007440-08-6,,"Po,Po",kBq,,,,Resources/ground/Non-renewable element resources,a391c2b9-9e24-484c-83c3-b12aeb5509f0,,
praseodymium,007440-10-0,,"Pr;プラセオジム（資源）;Pr reserves;praseodymium reserves,Pr;プラセオジム（資源）;Pr reserves;praseodymium reserves",kg,,,,Resources/ground/Non-renewable element resources,17577e17-718b-4156-bdbf-6db6be7f9655,,
platinum,007440-06-4,,"Pt;プラチナ,Pt",kg,Geological,,,Resources/ground/Non-renewable element resources,778a0da7-8c14-455d-bd1f-65ff6caa5929,,
radium,007440-14-4,,"Ra;ラジウム（資源）;Ra reserves;radium reserves,Ra;ラジウム（資源）;Ra reserves;radium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,86ecdf99-6874-410b-bd2a-bf00801db599,,
rubidium,007440-17-7,,"Rb;ルビジウム（資源）;Rb reserves;rubidium reserves,Rb;ルビジウム（資源）;Rb reserves;rubidium reserves",kg,,,,Resources/ground/Non-renewable element resources,e5017f16-935f-4e0a-bf9e-36693b105f69,,
rhenium,007440-15-5,,"Re;レニウム（資源）;Re reserves;rhenium reserves,Re;レニウム（資源）;Re reserves;rhenium reserves",kg,,,,Resources/ground/Non-renewable element resources,66f8e675-6c94-48bd-9ad4-bf1e83b8ac06,,
rhodium,007440-16-6,,"Rh;ロジウム（資源）;Rh reserves;rhodium reserves,Rh;ロジウム（資源）;Rh reserves;rhodium reserves",kg,,,,Resources/ground/Non-renewable element resources,c5985260-85ee-4370-9b0c-72a0be65e715,,
ruthenium,007440-18-8,,"Ru;ルテニウム（資源）;Ru reserves;ruthenium reserves,Ru;ルテニウム（資源）;Ru reserves;ruthenium reserves",kg,,,,Resources/ground/Non-renewable element resources,1b6c0eca-60ac-4399-ae96-b20900cf5869,,
sulfur,007704-34-9,,"S;硫黄（資源）;S reserves;sulphur reserves,S;S reserves;sulphur reserves",kg,,,,Resources/ground/Non-renewable element resources,aa1da294-8e09-4a7d-8dee-9436994e61ea,,
antimony,007440-36-0,,"Sb;アンチモン（資源）;Sb reserves;antimony reserves,Sb;アンチモン（資源）;Sb reserves;antimony reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,a35e4aa8-a39c-44a9-8c8a-e87e60533459,,
scandium,007440-20-2,,"Sc;スカンジウム（資源）;Sc reserves;scandium reserves,Sc;スカンジウム（資源）;Sc reserves;scandium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,85b7ae70-9426-4965-a7fe-f275a1b2eba3,,
selenium,007782-49-2,,"Se;セレン;Se;selenium,Se;セレン;Se;selenium",kg,,,,Resources/ground/Non-renewable element resources,6f326d2c-5961-44b1-91c5-1a3bd0514742,,
silicon,007440-21-3,,"Si;ケイ素（資源）;Si reserves;silicon reserves,Si;ケイ素（資源）;Si reserves;silicon reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,88f90b2c-2975-4f4b-b54d-897b3257b3c8,,
samarium,007440-19-9,,"Sm;サマリウム（資源）;Sm reserves;samarium reserves,Sm;サマリウム（資源）;Sm reserves;samarium reserves",kg,,,,Resources/ground/Non-renewable element resources,e849b6cf-efb5-4a92-b1e7-d130b4372b38,,
tin,007440-31-5,,"Sn;錫（資源）;Sn reserves;tin reserves,Sn;錫（資源）;Sn reserves;tin reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,b36a012c-82eb-4094-bb36-88bb326ae0cc,,
strontium,007440-24-6,,"Sr;ストロンチウム（資源）;Sr reserves;strontium reserves,Sr;ストロンチウム（資源）;Sr reserves;strontium reserves",kg,,,,Resources/ground/Non-renewable element resources,b69b7c40-de93-4fd6-91da-b965982fdfca,,
