Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
"2,3,7,8-tetrachlorodibenzo-p-dioxin",001746-01-6,,"C12H4Cl4O2;2,3,7,8 - TCDD;2,3,7,8-TCDD;ダイオキシン;2,3,7,8-tetrachlorodibenzo-p-dioxin;2,3,7,8-TCDD;dioxin,C12H4Cl4O2;2,3,7,8 - TCDD;2,3,7,8-TCDD;2,3,7,8-tetrachlorodibenzo-p-dioxin;2,3,7,8-TCDD;dioxin",kg,Element or Compound,,,Emissions/air/unspecified,87e6faf8-7baf-4076-ad48-d865afa32b48,,
hydrogen sulfide,007783-06-4,,"H2S;Hydrogen sulphide;H2S;hydrogen sulphide;H2S,H2S;Hydrogen sulphide;H2S;hydrogen sulphide;H2S",kg,Element or Compound,,,Emissions/air/unspecified,7ce19ec5-c00a-4174-a1f0-709f7e02c6c5,,
CFC-111,000354-56-3,,C2Cl5F;Pentachlorofluoroethane;ペンタクロロフルオロエタン;フルオロペンタクロロエタン;CFC-111;pentachlorofluoroethane;fluoropentachloroethane,kg,Element or Compound,,,Emissions/air/unspecified,7f0039aa-63cc-47e0-8170-9a31a2de69e3,,
CFC-13,000075-72-9,,CClF3;Chlorotrifluoromethane;クロロトリフルオロメタン;トリフルオロメチルクロリド;CFC-13;chlorotrifluoromethane;trifluoromethyl chloride,kg,Element or Compound,,,Emissions/air/unspecified,96cf8f9d-1906-4afb-bcbe-9ed8ed6382dc,,
HCFC-221,000422-26-4,,C3HCl6F;Hexachlorofluororopane,kg,Element or Compound,,,Emissions/air/unspecified,439056d1-a622-4e31-a1e1-39c543b7cc16,,
HFC-134,000359-35-3,,,kg,Element or Compound,,,Emissions/air/unspecified,ab6e32a3-8802-4cad-b04a-b57c2d4b3470,,
HFC-161,000353-36-6,,,kg,Element or Compound,,,Emissions/air/unspecified,e1440a84-552c-4f54-af27-df8dcbf87856,,
HFC-236cb,138495-42-8,,,kg,Element or Compound,,,Emissions/air/unspecified,95289101-ee3d-4f26-8c2f-84e3ca091e8e,,
HFC-365mfc,000406-58-6,,,kg,Element or Compound,,,Emissions/air/unspecified,9cfc18cf-36ae-4dee-a3c4-a9914958ab83,,
biological oxygen demand,,,"BOD;生物化学的酸素要求量,BOD",kg,Other,,,Emissions/water/unspecified,1e89d1e3-6af2-49af-9ce4-75a5488a18fb,,
methane,000074-82-8,,"CH4;メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/water/unspecified,16a38730-112b-4e05-b1c0-94b306a85c6c,,
chromium,007440-47-3,,"Cr;Cr;chromium;chromium reserves,Cr;Cr;chromium;chromium reserves",kg,Element or Compound,,,Emissions/water/unspecified,832a52da-da56-4094-ac1a-db42b5270cec,,
iron,007439-89-6,,"Fe;鉄（資源）;Fe reserves;iron reserves,Fe;鉄（資源）;Fe reserves;iron reserves",kg,Element or Compound,,,Emissions/water/unspecified,d1f838ff-0898-41fb-ae30-ef1fc7613fe6,,
mercury,007439-97-6,,"Hg;Hg;mercury,Hg;Hg;mercury",kg,Element or Compound,,,Emissions/water/unspecified,1cebe0f8-f933-48d6-94fa-d132e58680a0,,
manganese,007439-96-5,,"Mn;マンガン（資源）;Mn reserves;manganese reserves,Mn;マンガン（資源）;Mn reserves;manganese reserves",kg,Element or Compound,,,Emissions/water/unspecified,7b1a44af-f9a2-47c4-a628-4e3f3666292e,,
N total,,,"全窒素;t-N;N total;total nitrogen;t-N,t-N;N total;total nitrogen;t-N",kg,Other,,,Emissions/water/unspecified,fad06c1d-95a7-4fc0-875b-b553800c8605,,
ammonium,014798-03-9,,"NH4+;NH4+;ammonium ion;NH4+,NH4+;NH4+;ammonium ion;NH4+",kg,Element or Compound,,,Emissions/water/unspecified,dcbf4f32-e0d5-4c2d-bb9f-d7b2b4a7cd5b,,
nickel,007440-02-0,,"Ni;Ni;nickel;Ni,Ni;Ni;nickel;Ni",kg,Element or Compound,,,Emissions/water/unspecified,bdb9e6bf-8e3a-4f61-847e-cb8f7cc99719,,
nickel compounds,,,"nickel compounds,nickel compounds",kg,Groups of Chemicals ,,,Emissions/water/unspecified,6ae8e391-cd0a-44e1-bf40-37554798eb91,,
oil and grease,,,,kg,Groups of Chemicals ,,,Emissions/water/unspecified,75555206-2d02-42ce-bf8c-7a02a21cf867,,
P total,,,"全燐;全リン;t-P;P;P total;total-phosphorus;t-P;P,t-P;P;P total;total-phosphorus;t-P;P",kg,Other,,,Emissions/water/unspecified,30e001fe-f9f5-46fb-b301-5112e07f7724,,
polycyclic aromatic hydrocarbons,,,"PAH,PAH",kg,Groups of Chemicals ,,,Emissions/water/unspecified,f3c9ba2f-5636-4c30-916a-1463d1f80f0a,,
sulfur dioxide,007446-09-5,,"SO2;Sulphur dioxide;二酸化硫黄;無水亜硫酸;亜硫酸ガス;SO2;sulphur dioxide;sulphurous anhydride;sulphurous oxide,SO2;Sulphur dioxide;二酸化硫黄;無水亜硫酸;亜硫酸ガス;SO2;sulphur dioxide;sulphurous anhydride;sulphurous oxide",kg,Element or Compound,,,Emissions/water/unspecified,447ab692-308b-4bbd-9097-3e07f41b20c0,,
zinc,007440-66-6,,"Zn;亜鉛（資源）;Zn reserves;zinc reserves,Zn;亜鉛（資源）;Zn reserves;zinc reserves",kg,Element or Compound,,,Emissions/water/unspecified,8ebc8163-0354-4d3f-ab45-58e05dd33afc,,
copper,007440-50-8,,"Cu;銅（資源）;Cu reserves;copper reserves,Cu;銅（資源）;Cu reserves;copper reserves",kg,Element or Compound,,,Emissions/water/unspecified,8499bb55-ae39-40b4-b323-3aa4fc3d19c4,,
hydrocarbons,,,CxHy;hydrocarbons,kg,Groups of Chemicals ,,,Emissions/water/unspecified,ef5192df-df29-4427-9df6-782b39f657d5,,
hydrogen fluoride,007664-39-3,,"HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF,HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF",kg,Groups of Chemicals ,,,Emissions/water/unspecified,9782c96b-77a9-4d40-8abb-be72e3423830,,
2-methyl-4-chlorophenoxyacetic acid,000094-74-6,,"C9H9ClO3;MCPA;MCP;MCPA;(4-chloro-2-methylphenoxy)acetic acid;MCP;MCPA,C9H9ClO3;MCPA;MCP;MCPA;(4-chloro-2-methylphenoxy)acetic acid;MCP;MCPA",kg,Element or Compound,,,Emissions/water/unspecified,8e0a70fe-d49c-44dd-9897-50da032f3d79,,
atrazine,001912-24-9,,"C8H14ClN5;1-chloro-3-ethylamino-5-isopropylamino-2,4,6-triazine;アトラジン;2-chloro-4-ethylamino-6-isopropylamino-1,3,5-triazine;atrazine,C8H14ClN5;1-chloro-3-ethylamino-5-isopropylamino-2,4,6-triazine;アトラジン;2-chloro-4-ethylamino-6-isopropylamino-1,3,5-triazin",kg,Element or Compound,,,Emissions/water/unspecified,aaa3c291-5fbc-442e-89c2-7f9f11dc6cac,,
"1,1,2-trichloroethane",000079-00-5,,,kg,Element or Compound,,,Emissions/water/unspecified,d66fcd88-185d-4d64-979b-983b0725b304,,
treated uncombustible waste for landfill,,,,kg,Other,,,"Emissions/ground/to soil, unspecified",c1541e51-9a1a-4f3a-a786-d72fd713f0b2,,
ash and cinder (landfill),,,,kg,Other,,,"Emissions/ground/to soil, unspecified",b5baef0f-87a4-4a14-a983-a6e981ce9e1c,,
other land use type,,,,m2*a,Land use,,,Resources/land use/land occupation,f7e8470a-642f-4c91-ae72-de8f3aa365e0,,
transport artery,,,,m2*a,Land use,,,Resources/land use/land occupation,354d6b1e-b5f9-4b67-a651-fac14f841796,,
building site,,,,m2*a,Land use,,,Resources/land use/land occupation,4243aedb-0531-4e7c-9074-29d7e4e19204,,
barren land,,,,m2*a,Land use,,,Resources/land use/land occupation,60a31ee1-b87b-40e9-8afb-b5ad60994c06,,
rice paddy,,,,m2*a,Land use,,,Resources/land use/land occupation,666804c4-eaed-4991-99e0-fd47c91c829c,,
"arable, except rice paddy",,,,m2*a,Land use,,,Resources/land use/land occupation,f160f933-4bd6-4b63-adb4-03c21e37b3cf,,
mineral extraction site,,,,m2*a,Land use,,,Resources/land use/land occupation,CC0F5788-8059-4253-8498-D7B8D3CD3CD6,,
dump yard,,,,m2*a,Land use,,,Resources/land use/land occupation,dd8c94cc-b5c2-4736-9dfc-668bce100891,,
road construction,,,,m2,Land use,,,Resources/land use/Land transformation,1E642C69-FB9A-4902-AA20-037970B7AE36,,
miscellaneous land use type,,,,m2,Land use,,,Resources/land use/Land transformation,B0E18501-86E3-405C-B376-7E8BB0076A1B,,
orchard to transport artery,,,,m2,Land use,,,Resources/land use/Land transformation,5185fb58-347d-4d0a-9a8e-c1bf3b3358d4,,
forest to transport artery,,,,m2,Land use,,,Resources/land use/Land transformation,04bccd74-e8bb-4662-b43a-10d3963fa174,,
forest to rice paddy,,,,m2,Land use,,,Resources/land use/Land transformation,097dfc52-95a5-47a0-bcfc-1d240849cd46,,
forest to building site,,,,m2,Land use,,,Resources/land use/Land transformation,5867a896-e246-440d-97cd-75758724b6ed,,
forest to orchard,,,,m2,Land use,,,Resources/land use/Land transformation,7b51a710-94a4-4c3f-9a74-468a8c9c3de8,,
forest to barren land,,,,m2,Land use,,,Resources/land use/Land transformation,a9e841f0-4592-4809-aa30-38581851e158,,
forest to miscellaneous plantation,,,,m2,Land use,,,Resources/land use/Land transformation,aca9578c-89af-4788-85eb-cee35eca9159,,
forest to deforestation areas,,,,m2,Land use,,,Resources/land use/Land transformation,,,
"rice paddy to arable, except rice paddy",,,,m2,Land use,,,Resources/land use/Land transformation,0c960f52-47b2-4a04-b0eb-780bcb51fd20,,
"car noise, large car",,,,Items*km,Other,,,Emissions/air/urban air close to ground,b1635f17-5720-4149-b7a8-c0fb3f145fc3,,
"car noise, car size unknown",,,,Items*km,Other,,,Emissions/air/urban air close to ground,82f27a51-dbc7-44aa-96fe-77f09cb6d334,,
