Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,,,,,,,,,FlowInternalID,UsedYn,,
"Particulates (PM2.5), non-urban",,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,79AA370E-7E16-447F-B91B-A539420227F6,,,,,,,,,,,,2123013,1,,Geological
sulfur hexafluoride,002551-62-4,,"SF6;Sulphur hexafluoride;六フッ化硫黄;SF6;sulphur hexafluoride,SF6;Sulphur hexafluoride;六フッ化硫黄;SF6;sulphur hexafluoride",kg,Element or Compound,,,Emissions/air/unspecified,d408e8dd-3e8b-44f2-8253-d30e5fc230d4,,,,,,,,,,,,2124,1,,Geological
"sulfur dioxide, urban air close to ground",,,,kg,Groups of Chemicals ,,,Emissions/air/urban air close to ground,a9feed94-4d3e-436e-accb-e28882672ea7,,,,,,,,,,,,2125011,1,,
"sulfur dioxide, urban high stacks",,,,kg,Groups of Chemicals ,,,Emissions/air/urban high stacks,a20123c0-34c0-4d2b-b87e-ef53a241a01f,,,,,,,,,,,,2125012,1,,
"sulfur dioxide, non-urban",,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,41766FE9-F1F8-4F35-AD6E-A5DE7EF9C8C3,,,,,,,,,,,,2125013,1,,Geological
"SOx, urban high stacks",,,,kg,Groups of Chemicals ,,,Emissions/air/urban high stacks,725bb581-59e5-43f5-a063-968ab78dd651,,,,,,,,,,,,2126012,1,,Geological
"SOx, non-urban",,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,B20FDE96-0B2E-48AE-A33A-07F3B29F96DD,,,,,,,,,,,,2126013,1,,Geological
vanadium,007440-62-2,,"V;バナジウム（資源）;V reserves;vanadium reserves,V;バナジウム（資源）;V reserves;vanadium reserves",kg,Element or Compound,,,Emissions/air/unspecified,661fac03-7cc2-4a61-85a4-0a6a5a3f4596,,,,,,,,,,,,2128,1,,Geological
volatile organic compound,,,"VOC,VOC",kg,Groups of Chemicals ,,,Emissions/air/unspecified,c5437bfb-bae0-4d63-b051-073a8d24308e,,,,,,,,,,,,2129,1,,Geological
zinc,007440-66-6,,"Zn;亜鉛（資源）;Zn reserves;zinc reserves,Zn;亜鉛（資源）;Zn reserves;zinc reserves",kg,Element or Compound,,,Emissions/air/unspecified,f7172587-dab5-43f0-a803-c1b1b64a990e,,,,,,,,,,,,2130,1,,
PFC-116,000076-16-4,,"C2F6;Hexafluoroethane;ヘキサフルオロエタン;F116;PFC-116;perfluoroethane;hexafluoroethane;F116;PFC-116,C2F6;Hexafluoroethane;ヘキサフルオロエタン;F116;PFC-116;perfluoroethane;hexafluoroethane;F116;PFC-116",kg,Element or Compound,,,Emissions/air/unspecified,8fd8c48d-4015-413e-855e-652f4ee72191,,,,,,,,,,,,2131,1,,
PFC-14,000075-73-0,,"CF4;Carbon tetrafluoride;テトラフルオロメタン;四フッ化炭素;PFC-14;perfluoromethane;tetrafluoromethane;carbon tetrafluoride;PFC-14,CF4;Carbon tetrafluoride;テトラフルオロメタン;四フッ化炭素;PFC-14;perfluoromethane;tetrafluoromethane;carbon tetrafluoride;PFC-14",kg,Element or Compound,,,Emissions/air/unspecified,3d42687a-1101-457b-9439-ca2daff845fc,,,,,,,,,,,,2132,1,,
hydrogen fluoride,007664-39-3,,"HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF,HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF",kg,Element or Compound,,,Emissions/air/unspecified,66279e57-891b-4e61-aad5-579a48a81da7,,,,,,,,,,,,2135,1,,Geological
hydrocarbons,,,CxHy;hydrocarbons,kg,Groups of Chemicals ,,,Emissions/air/unspecified,ef31b321-f43d-4be7-96aa-f3b9aab8050b,,,,,,,,,,,,2138,1,,Geological
transpiration_surface water,007732-18-5,,"蒸発散_表層水,evapotranspiration_surface water",m3,Water,,,Resources/water/consumption,28E01349-445F-48CD-83FF-ECAC8CD408ED,,,,,,,,,,,,2140400,1,,
transpiration_ground water,007732-18-5,,"蒸発散_地下水,evapotranspiration_ground water",m3,Water,,,Resources/water/consumption,3CD502AE-62C9-45C8-9285-AD9A4AD052FC,,,,,,,,,,,,2141400,1,,
transpiration rain water,007732-18-5,,"蒸発散_雨水,evapotranspiration_rainwater",m3,Water,,,Resources/water/consumption,A627064B-2A9C-4054-BF35-08518777FDF8,,,,,,,,,,,,2142400,1,,
diuron,000330-54-1,,"C9H10Cl2N2O;1,1-dimethyl-3-(3,4-Dichlorophenyl)urea;ジウロン;DCMU;3-(3,4-dichlorophenyl)-1,1-dimethylurea;diuron;DCMU,C9H10Cl2N2O;1,1-dimethyl-3-(3,4-Dichlorophenyl)urea;DCMU;3-(3,4-dichlorophenyl)-1,1-dimethylurea;diuron;DCMU",kg,Element or Compound,,,Emissions/air/unspecified,c43804ce-2fe2-4f57-bdcb-0d478998370a,,,,,,,,,,,,2152,1,,
mancozeb,008018-01-7,,"C4H6MnN2S4;マンコゼブ;complex compounds of manganese manganese N,N'-ethylenebis(dithiocarbamate) and zinc N,N'-ethylenebis(dithiocarbamate);mancozeb,C4H6MnN2S4;マンコゼブ;complex compounds of manganese manganese N,N'-ethylenebis(dithiocarbamate) and zinc N,N'-ethylenebis(dithiocarbamate);mancozeb",kg,Element or Compound,,,Emissions/air/unspecified,07fa573f-1c06-4944-848b-b203a9a466c6,,,,,,,,,,,,2158,0,,
malathion,000121-75-5,,"C10H19O6PS2;1,2-di(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;1,2-ジ(エトキシカルボニル)エチル O,O-ジメチルホスホロジチオアート;マラチオン;O,O-dimethyl-S-(1,2-dicarbethoxyethyl) phosphorodithioate;1,2-di(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;malathion,C10H19O6PS2;1,2-di(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;1,2-ジ(エトキシカルボニル)エチル O,O-ジメチルホスホロジチオアート;マラチオン;O,O-dimethyl-S-(1,2-dicarbethoxyethyl) phosphorodithioate;1,2-di(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;malathion",kg,Element or Compound,,,Emissions/air/unspecified,8084f2d5-f5ac-43d4-b229-6ed686eb7b53,,,,,,,,,,,,2166,0,,
copper,,,,kg,Element or Compound,,,Emissions/air/unspecified,1538b901-34b0-4fef-8a84-c5b8003b4aa6,,,,,,,,,,,,2176,0,,
cobalt,,,Co;コバルト（資源）;Co reserves;cobalt reserves,kg,Element or Compound,,,Emissions/air/unspecified,49b61826-2123-4b94-ad07-c5bcf81d00f1,,,,,,,,,,,,2177,1,,
"2,3,7,8-tetrachlorodibenzo-p-dioxin",001746-01-6,,"C12H4Cl4O2;2,3,7,8 - TCDD;2,3,7,8-TCDD;ダイオキシン;2,3,7,8-tetrachlorodibenzo-p-dioxin;2,3,7,8-TCDD;dioxin,C12H4Cl4O2;2,3,7,8 - TCDD;2,3,7,8-TCDD;2,3,7,8-tetrachlorodibenzo-p-dioxin;2,3,7,8-TCDD;dioxin",kg,Element or Compound,,,Emissions/air/unspecified,87e6faf8-7baf-4076-ad48-d865afa32b48,,,,,,,,,,,,2199001,1,,
metolachlor,051218-45-2,,"C15H22ClNO2;2-chloro-6'-ethyl-N-(2-methoxy-1-methylethyl)-o-acetoluidide;メトラクロール;2-chloro-2'-ethyl-N-(2-methoxy-1-methylethyl)-6'-methylacetanilide;metolachlor,C15H22ClNO2;2-chloro-6'-ethyl-N-(2-methoxy-1-methylethyl)-o-acetoluidide;メトラクロール;2-chloro-2'-ethyl-N-(2-methoxy-1-methylethyl)-6'-methylacetanilide;metolachlor",kg,Element or Compound,,,Emissions/air/unspecified,63bc8183-9e0d-4f0d-8778-de5ef02430a0,,,,,,,,,,,,2199009,1,,
chlorothalonil,001897-45-6,,"C8Cl4N2;1,3-dicyano-2,4,5,6-tetrachlorobenzene;クロロタロニル;TPN;tetrachloroisophthalonitrile;chlorothalonil;TPN,C8Cl4N2;1,3-dicyano-2,4,5,6-tetrachlorobenzene;クロロタロニル;TPN;tetrachloroisophthalonitrile;chlorothalonil;TPN",kg,Element or Compound,,,Emissions/air/unspecified,67176250-6a58-467c-a452-6c3cebc8bf94,,,,,,,,,,,,2199027,0,,Geological
diazinon,000333-41-5,,"C12H21N2O3PS;O,O-diethyl O-(2-isopropyl-4-methyl-6-pyrimidinyl) thiophosphoric acid;ダイアジノン;O,O-diethyl O-2-isopropyl-6-methyl-4-pyrimidinyl phosphorothioate;diazinon,C12H21N2O3PS;O,O-diethyl O-(2-isopropyl-4-methyl-6-pyrimidinyl) thiophosphoric acid;ダイアジノン;O,O-diethyl O-2-isopropyl-6-methyl-4-pyrimidinyl phosphorothioate;diazinon",kg,Element or Compound,,,Emissions/air/unspecified,3cdd480e-b3b1-4b69-9cdc-0259bdb474f2,,,,,,,,,,,,2199028,0,,Geological
thiobencarb,028249-77-6,,"C12H16ClNOS;4-chlorobenzyl diethylthiolcarbamate;Ｎ,Ｎ-ジエチルチオカルバミン酸S-4-クロロベンジル;チオベンカルブ;ベンチオカルブ;S-4-chlorobenzyl n,n-diethylthiocarbamate;N,N-diethylthiocarbamate;thiobencarb;benthiocarb,C12H16ClNOS;4-chlorobenzyl diethylthiolcarbamate;Ｎ,Ｎ-ジエチルチオカルバミン酸S-4-クロロベンジル;チオベンカルブ;ベンチオカルブ;S-4-chlorobenzyl n,n-diethylthiocarbamate;N,N-diethylthiocarbamate;thiobencarb;benthiocarb",kg,Element or Compound,,,Emissions/air/unspecified,d4cbc691-32df-4b44-9160-b8f46184e19f,,,,,,,,,,,,2199034,0,,Geological
permethrin,052645-53-1,,"C21H20Cl2O3;ペルメトリン;3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate;permethrin,C21H20Cl2O3;ペルメトリン;3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate;permethrin",kg,Element or Compound,,,Emissions/air/unspecified,12cc0d13-fa18-40bf-ae5a-cf07c033ed4c,,,,,,,,,,,,2199044,0,,Geological
"1,3-dichloropropene",000542-75-6,,"C3H4Cl2;1,3-ジクロロ-1-プロピレン;D-D;1,3-dichloropropene;1,3-dichloro-1-propylene;D-D,C3H4Cl2;D-D;1,3-dichloropropene;1,3-dichloro-1-propylene;D-D",kg,Element or Compound,,,Emissions/air/unspecified,1f2918fa-367a-46ca-9640-0b8d6fa7e403,,,,,,,,,,,,2199049,0,,Geological
Halon-1001,000074-83-9,,"CH3Br;Bromomethane;臭化メチル;モノブロモメタン;bromomethane;methyl bromide;monobromomethane,CH3Br;Bromomethane;臭化メチル;モノブロモメタン;bromomethane;methyl bromide;monobromomethane",kg,Element or Compound,,,Emissions/air/unspecified,eb35b786-b98f-4695-9403-237d5cf333ca,,,,,,,,,,,,2199058,0,,
CFC-11,000075-69-4,,CCl3F;Trichlorofluoromethane;トリクロロフルオロメタン;フロン11;R-11;CFC-11;trichlorofluoromethane;F-11;R-11,kg,Element or Compound,,,Emissions/air/unspecified,412876da-445e-4bff-8789-bec6af857a17,,,,,,,,,,,,2199075,0,,
CFC-113,026523-64-8,,"C2Cl3F3;1,1,2-trichloro-1,2,2-trifluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,53d62ca2-1001-4eb0-99bb-3630a6cf0775,,,,,,,,,,,,2199078,1,,
CFC-12,000075-71-8,,CCl2F2;Dichlorodifluoromethane;ジクロロジフルオロメタン;CFC-12;dichlorodifluoromethane,kg,Element or Compound,,,Emissions/air/unspecified,5ef468fb-de17-4b1d-900e-08c20c5899d3,,,,,,,,,,,,2199081,0,,
Halon-1301,000075-63-8,,CBrF3;Bromotrifluoromethane ;ブロモトリフルオロメタン;トリフルオロブロモメタン;HALON-1301;bromotrifluoromethane;trifluorobromomethane,kg,Element or Compound,,,Emissions/air/unspecified,05f627db-e902-44ea-b8a9-9c52cf730a6e,,,,,,,,,,,,2199091,1,,Biological
HCFC-123,000306-83-2,,"C2HCl2F3;2,2-dichloro-1,1,1-tri-fluoroethane;2,2-ジクロロ-1,1,1-トリフルオロエタン;1,1-ジクロロ-2,2,2-トリフルオロエタン;HCFC-123;2,2-dichloro-1,1,1-trifluoroethane;1,1-dichloro-2,2,2-trifluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,1653c3b6-1fd3-4420-97cb-6856eeced0c5,,,,,,,,,,,,2199096,0,,Biological
HCFC-124,002837-89-0,,"C2HClF4;2-chloro-1,1,1,2-tetrafluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,5e600729-1f65-42b3-9d44-b8ebb4ef7902,,,,,,,,,,,,2199097,0,,
HCFC-140,000071-55-6,,"C2H3Cl3;1,1,1-trichloroethane;メチルクロロホルム;クロロテン;1,1,1-trichloroethane;methyl chloroform;chlorothene",kg,Element or Compound,,,Emissions/air/unspecified,24c945d9-ac42-475e-95c8-c7aa6fa35039,,,,,,,,,,,,2199099,0,,Geological?
HCFC-142b,000075-68-3,,"C2H3ClF2;1-chloro-1,1-difluoroethane;1-クロロ-1,1-ジフルオロエタン;1,1,1-クロロジフルオロエタン;1,1-ジフルオロ-1-クロロエタン;HCFC-142b;1-chloro-1,1-difluoroethane;1,1,1-chlorodifluoroethane;1,1-difluoro-1-chloroethane",kg,Element or Compound,,,Emissions/air/unspecified,2390ed43-d8fe-4733-9c2d-b87386f4f3d0,,,,,,,,,,,,2199100,0,,Geological?
HCFC-22,000075-45-6,,CHClF2;Chlorodifluoromethane;クロロジフルオロメタン;ジフルオロクロロメタン;HCFC-22;chlorodifluoromethane;difluorochloromethane,kg,Element or Compound,,,Emissions/air/unspecified,0c74b1b9-356c-46ae-9a0c-db3b54827bb2,,,,,,,,,,,,2199102,0,,
(phenoxymethyl)-oxirane,000122-60-1,,,kg,Element or Compound,,,Emissions/air/unspecified,e7f33ebe-7865-4801-ad86-ef0b81aa02a6,,,,,,,,,,,,2199129,1,,Geological?
"1,1,2-trichloroethane",000079-00-5,,,kg,Element or Compound,,,Emissions/air/unspecified,aa849aa8-f9be-410c-be94-d7ee65193d2b,,,,,,,,,,,,2199131,0,,Geological?
"1,1-dichloroethylene",000075-35-4,,,kg,Element or Compound,,,Emissions/air/unspecified,f0577390-caf1-4bff-895d-f6201f96a0ee,,,,,,,,,,,,2199133,0,,
"1,2,4-trimethylbenzene",000095-63-6,,,kg,Element or Compound,,,Emissions/air/unspecified,d1b3b0fd-d835-413b-b41c-f2eba7650ebe,,,,,,,,,,,,2199139,0,,
"1,2-benzenediol",000120-80-9,,,kg,Element or Compound,,,Emissions/air/unspecified,3435fc92-5f1f-43d3-bf8e-c772040425fa,,,,,,,,,,,,2199140,0,,
"1,2-dichloroethane",000107-06-2,,,kg,Element or Compound,,,Emissions/air/unspecified,b001a9ab-85f5-4285-9a93-b0386b16868b,,,,,,,,,,,,2199142,0,,
"1,2-dichloropropane",000078-87-5,,,kg,Element or Compound,,,Emissions/air/unspecified,2b2a4e44-e5fc-4681-9fd9-7718e4b42271,,,,,,,,,,,,2199143,0,,
"1,3,5-trimethylbenzene",000108-67-8,,,kg,Element or Compound,,,Emissions/air/unspecified,9a65eb93-faa2-41ce-9a79-ec01f364b9b0,,,,,,,,,,,,2199146,0,,
"1,4-dioxane",000123-91-1,,,kg,Element or Compound,,,Emissions/air/unspecified,989bab8d-420b-4c60-8087-66549aeed8a7,,,,,,,,,,,,2199152,0,,Energy
1-chloro-4-nitrobenzene,000100-00-5,,,kg,Element or Compound,,,Emissions/air/unspecified,15e5162b-3a01-43e4-80d9-ac646c8dde5b,,,,,,,,,,,,2199156,0,,Geological?
1-octanol,000111-87-5,,,kg,Element or Compound,,,Emissions/air/unspecified,25778010-c912-4fca-a94f-c10393c878d6,,,,,,,,,,,,2199169,0,,
"2,4,6-tribromophenol",000118-79-6,,,kg,Element or Compound,,,Emissions/air/unspecified,14559153-f842-4ad4-b6a5-782e812574de,,,,,,,,,,,,2199195,0,,
"2,4/2,6-toluenediisocyanate (mixture)",026471-62-5,,,kg,Element or Compound,,,Emissions/air/unspecified,05b589ef-4997-4ab3-b97f-9a6724e211bb,,,,,,,,,,,,2199196,0,,
2-ethoxyethanol,000110-80-5,,,kg,Element or Compound,,,Emissions/air/unspecified,80d2fec6-3a9f-4281-b5a1-15f7b663238c,,,,,,,,,,,,2199214,0,,
2-ethoxyethyl acetate,000111-15-9,,,kg,Element or Compound,,,Emissions/air/unspecified,77e4fa5b-5b48-45f0-af98-24140fc66b3b,,,,,,,,,,,,2199215,0,,
2-methoxyethanol,000109-86-4,,,kg,Element or Compound,,,Emissions/air/unspecified,4b95ed1b-5c3e-4a45-8bda-f4c80567dea0,,,,,,,,,,,,2199221,0,,
"4,4'-methylenebis-(2-chlorobenzenamine",000101-14-4,,,kg,Element or Compound,,,Emissions/air/unspecified,1bbabdf6-ba93-4983-bb24-07f2a59de046,,,,,,,,,,,,2199259,0,,Water
"4,4'-methylenedianiline",000101-77-9,,,kg,Element or Compound,,,Emissions/air/unspecified,2f812885-430c-4613-957f-f710c51536e8,,,,,,,,,,,,2199260,0,,Water
4-ethenylcyclohexene,000100-40-3,,,kg,Element or Compound,,,Emissions/air/unspecified,8fc31205-2f91-428f-a461-0924d36e52b7,,,,,,,,,,,,2199262,0,,Water
acenaphthene,000083-32-9,,,kg,Element or Compound,,,Emissions/air/unspecified,4cb1df69-829a-4979-8459-6df72e3a780f,,,,,,,,,,,,2199273,0,,Water
acetaldehyde,000075-07-0,,,kg,Element or Compound,,,Emissions/air/unspecified,35289490-d2a8-4e6c-b30e-1cef7407d2de,,,,,,,,,,,,2199275,0,,Water
acrolein,000107-02-8,,,kg,Element or Compound,,,Emissions/air/unspecified,1fbab9e6-bf00-45d2-8ec6-d826257a474b,,,,,,,,,,,,2199279,0,,Water
acrylamide,000079-06-1,,,kg,Element or Compound,,,Emissions/air/unspecified,3e25654c-1933-4464-9965-d8dbb68b1ef2,,,,,,,,,,,,2199280,0,,Water
acrylic acid,000079-10-7,,,kg,Element or Compound,,,Emissions/air/unspecified,27bfec4a-3bb9-4c79-8cb3-bb0b3693800d,,,,,,,,,,,,2199281,0,,Water
aniline,000062-53-3,,,kg,Element or Compound,,,Emissions/air/unspecified,9742a0f3-34ff-4d12-a495-0736d1790ba1,,,,,,,,,,,,2199289,0,,Water
anthracene,000120-12-7,,,kg,Element or Compound,,,Emissions/air/unspecified,17aabf67-cf92-4bd5-bca2-160cf06d13c7,,,,,,,,,,,,2199290,0,,Water
antimony,007440-36-0,,,kg,Element or Compound,,,Emissions/air/unspecified,e3216ea9-821b-42fb-a5a0-1c609164ecfe,,,,,,,,,,,,2199292,0,,Water
benzaldehyde,000100-52-7,,,kg,Element or Compound,,,Emissions/air/unspecified,e4a259ed-5d00-4103-bbf5-9a6aa0cb0009,,,,,,,,,,,,2199302,0,,Water
benzene,000071-43-2,,,kg,Element or Compound,,,Emissions/air/unspecified,2df8d03b-487d-448e-9648-d1793a94619e,,,,,,,,,,,,2199303,0,,Water
benzylchloride,000100-44-7,,,kg,Element or Compound,,,Emissions/air/unspecified,174b1d04-c23a-42dd-936f-505f97ba7bc7,,,,,,,,,,,,2199313,0,,Water
biphenyl,000092-52-4,,,kg,Element or Compound,,,Emissions/air/unspecified,56e6f8c1-4d80-40ff-a4ea-815da42d2f4e,,,,,,,,,,,,2199317,0,,
butadiene,000106-99-0,,,kg,Element or Compound,,,Emissions/air/unspecified,c05ce1ac-f1ee-47c7-b4a9-ebf9dc0659f7,,,,,,,,,,,,2199323,0,,Energy
butyl acrylate,000141-32-2,,,kg,Element or Compound,,,Emissions/air/unspecified,15c4e535-9e2f-4156-a442-7a0bb2faf46c,,,,,,,,,,,,2199326,0,,
butyl benzyl phthalate,000085-68-7,,,kg,Element or Compound,,,Emissions/air/unspecified,1f95b171-ec7d-45e0-9683-03aae89f09c6,,,,,,,,,,,,2199327,0,,Element or Compound
caprolactam,000105-60-2,,,kg,Element or Compound,,,Emissions/air/unspecified,a7dc13c2-16ff-4078-ac8d-ad8877c2a17f,,,,,,,,,,,,2199471,0,,
carbon disulfide,000075-15-0,,,kg,Element or Compound,,,Emissions/air/unspecified,cea0bfb7-025b-492d-8d99-e8e30cae7561,,,,,,,,,,,,2199472,0,,Element or Compound
chlorobenzene,000108-90-7,,,kg,Element or Compound,,,Emissions/air/unspecified,6c8915ef-e746-404f-af29-3a1b48d68004,,,,,,,,,,,,2199487,0,,Element or Compound
chloroform,000067-66-3,,,kg,Element or Compound,,,Emissions/air/unspecified,26bcb435-182d-4055-836b-5f540636ad53,,,,,,,,,,,,2199488,0,,Element or Compound
chromium VI,018540-29-9,,,kg,Element or Compound,,,Emissions/air/unspecified,01521f44-cb27-496c-a813-82b515984425,,,,,,,,,,,,2199489,0,,Element or Compound
"cis-1,2-dichloroethylene",000156-59-2,,,kg,Element or Compound,,,Emissions/air/unspecified,50fd5bd7-6e2b-4741-95f0-f519c356d149,,,,,,,,,,,,2199492,0,,Element or Compound
cresol,001319-77-3,,,kg,Element or Compound,,,Emissions/air/unspecified,78bdc8f9-11db-4beb-be35-0a343ce928e5,,,,,,,,,,,,2199502,0,,Element or Compound
cumene,000098-82-8,,,kg,Element or Compound,,,Emissions/air/unspecified,6691f701-1260-4607-a3c9-994f4c597b33,,,,,,,,,,,,2199507,0,,Element or Compound
dazomet,000533-74-4,,,kg,Element or Compound,,,Emissions/air/unspecified,f41a8732-ad51-4714-ae07-d1dc5a2ff8c0,,,,,,,,,,,,2199520,0,,Element or Compound
decabromophenyl ether,001163-19-5,,,kg,Element or Compound,,,Emissions/air/unspecified,55deae42-94eb-42d3-943e-dca50d798302,,,,,,,,,,,,2199521,0,,Element or Compound
dibutyl phthalate,000084-74-2,,,kg,Element or Compound,,,Emissions/air/unspecified,75fa3855-bd60-4c80-8518-8dc84e9b68af,,,,,,,,,,,,2199533,0,,Element or Compound
dichloromethane,000075-09-2,,,kg,Element or Compound,,,Emissions/air/unspecified,a9aec397-3bc9-4c58-8e26-0adeb08ef907,,,,,,,,,,,,2199536,0,,Element or Compound
dichlorvos,000062-73-7,,,kg,Element or Compound,,,Emissions/air/unspecified,69eaadda-9e60-4ccf-8735-0db2cd6e528a,,,,,,,,,,,,2199537,0,,Element or Compound
dimethoate,000060-51-5,,,kg,Element or Compound,,,Emissions/air/unspecified,0ac1835d-2395-46b4-80f7-eedd2e477475,,,,,,,,,,,,2199546,0,,Element or Compound
dimethyl formamide,000068-12-2,,,kg,Element or Compound,,,Emissions/air/unspecified,a4578b23-9e65-4cf3-bf0f-2630c3d22e81,,,,,,,,,,,,2199551,0,,Element or Compound
dimethyl terephthalate,000120-61-6,,,kg,Element or Compound,,,Emissions/air/unspecified,81728b27-2d81-4bec-87fb-e30241c7ac4d,,,,,,,,,,,,2199556,0,,
diphenyl amine,000122-39-4,,,kg,Element or Compound,,,Emissions/air/unspecified,0bace46e-2577-4fed-8341-236e8fe36ce6,,,,,,,,,,,,2199583,0,,Element or Compound
di-sec-octyl phthalate,000117-81-7,,,kg,Element or Compound,,,Emissions/air/unspecified,87685182-7de0-43cf-a6be-980f8d52d181,,,,,,,,,,,,2199585,0,,Groups of Chemicals 
divinyl benzene,001321-74-0,,,kg,Element or Compound,,,Emissions/air/unspecified,c3d7666d-4e11-475b-93f8-882a42dd938f,,,,,,,,,,,,2199586,0,,Groups of Chemicals 
epichlorohydrin,000106-89-8,,,kg,Element or Compound,,,Emissions/air/unspecified,b0a5717e-e5cd-48d2-b19b-5762bf2862b9,,,,,,,,,,,,2199590,0,,
ethyl acrylate,000140-88-5,,,kg,Element or Compound,,,Emissions/air/unspecified,2dfeaf8a-080a-46a6-b51c-8211e09395f6,,,,,,,,,,,,2199597,0,,Groups of Chemicals 
ethyl benzene,000100-41-4,,,kg,Element or Compound,,,Emissions/air/unspecified,c1f85acd-88e5-4fbc-bd23-fd9466e678e2,,,,,,,,,,,,2199599,0,,Groups of Chemicals 
ethylene oxide,000075-21-8,,,kg,Element or Compound,,,Emissions/air/unspecified,91b9230e-860a-4ba2-8261-fd9121bbbf9a,,,,,,,,,,,,2199613,0,,Groups of Chemicals 
ethyleneimine,000151-56-4,,,kg,Element or Compound,,,Emissions/air/unspecified,5fc67021-8682-4806-9fc0-e56e58d08718,,,,,,,,,,,,2199615,0,,
fenitrothion,000122-14-5,,,kg,Element or Compound,,,Emissions/air/unspecified,5093e64e-a557-47db-8f7f-ac0eaffb8569,,,,,,,,,,,,2199629,0,,Groups of Chemicals 
fenthion,000055-38-9,,,kg,Element or Compound,,,Emissions/air/unspecified,98775ce2-9bdd-405f-8230-01e89abcf73c,,,,,,,,,,,,2199630,0,,
formaldehyde,000050-00-0,,,kg,Element or Compound,,,Emissions/air/unspecified,6bf3ba36-2e11-45e9-a08e-c5ff02ff854e,,,,,,,,,,,,2199633,0,,
glyoxal,000107-22-2,,,kg,Element or Compound,,,Emissions/air/unspecified,bf5f6b4d-e643-4b78-9eac-236e201ca5fa,,,,,,,,,,,,2199639,0,,
hexamethylene diamine,000124-09-4,,,kg,Element or Compound,,,Emissions/air/unspecified,28dc82de-9b87-4fc5-9c47-f99cae89fb74,,,,,,,,,,,,2199653,0,,
hexane,000110-54-3,,,kg,Element or Compound,,,Emissions/air/unspecified,81a387af-c481-4393-b147-329e73f2111b,,,,,,,,,,,,2199655,0,,
HFC-125,000354-33-6,,,kg,Element or Compound,,,Emissions/air/unspecified,33138df8-c51c-4c6c-b495-a568384d766c,,,,,,,,,,,,2199657,0,,Groups of Chemicals 
HFC-152a,000075-37-6,,,kg,Element or Compound,,,Emissions/air/unspecified,bafebaaa-26e5-43a4-955d-0577fb307299,,,,,,,,,,,,2199662,1,,Groups of Chemicals 
HFC-23,000075-46-7,,,kg,Element or Compound,,,Emissions/air/unspecified,f16fa608-03b8-420b-81c3-7d6080d34dd8,,,,,,,,,,,,2199665,1,,Element or Compound
HFC-32,000075-10-5,,,kg,Element or Compound,,,Emissions/air/unspecified,2fe5b0b1-dc53-4d60-9ff3-59c1fe7f583a,,,,,,,,,,,,2199670,1,,Element or Compound
hydrazine,000302-01-2,,,kg,Element or Compound,,,Emissions/air/unspecified,5a773121-e5d0-42c7-ad7f-d960c692d571,,,,,,,,,,,,2199700,1,,
isobutyraldehyde,000078-84-2,,,kg,Element or Compound,,,Emissions/air/unspecified,f71f1b82-735d-4bc8-89d7-ad3b8f06f578,,,,,,,,,,,,2199714,0,,Element or Compound
isoprene,000078-79-5,,,kg,Element or Compound,,,Emissions/air/unspecified,e67ea7e4-6f6f-4dda-9fc5-9d9132325139,,,,,,,,,,,,2199740,0,,Element or Compound
maleic anhydride,000108-31-6,,,kg,Element or Compound,,,Emissions/air/unspecified,7ac8ae42-d2ed-4542-b764-0b077f4a3014,,,,,,,,,,,,2199753,0,,Groups of Chemicals 
ethylmercaptan,000075-08-1,,,kg,Element or Compound,,,Emissions/air/unspecified,545265e0-25db-4a11-ae05-20c49deeace6,,,,,,,,,,,,2199757,0,,
methacrylate,000096-33-3,,,kg,Element or Compound,,,Emissions/air/unspecified,90d8278c-922a-4283-86dc-e7055e465cba,,,,,,,,,,,,2199758,0,,
methacrylic acid,000079-41-4,,,kg,Element or Compound,,,Emissions/air/unspecified,90dee1c9-dcaf-487d-b34c-d5a8040cb98e,,,,,,,,,,,,2199759,0,,Groups of Chemicals 
methyl methacrylate,000080-62-6,,,kg,Element or Compound,,,Emissions/air/unspecified,a14fb64f-f050-45d3-a294-ab98aa9d9f07,,,,,,,,,,,,2199779,0,,Element or Compound
