Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,,,,,,,,,FlowInternalID,UsedYn,,
antimony,007440-36-0,,"Sb;アンチモン（資源）;Sb reserves;antimony reserves,Sb;アンチモン（資源）;Sb reserves;antimony reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,a35e4aa8-a39c-44a9-8c8a-e87e60533459,,,,,,,,,,,,1158,1,,Geological
selenium,007782-49-2,,"Se;セレン;Se;selenium,Se;セレン;Se;selenium",kg,Geological,,,Resources/ground/Non-renewable element resources,6f326d2c-5961-44b1-91c5-1a3bd0514742,,,,,,,,,,,,1160,1,,
samarium,007440-19-9,,"Sm;サマリウム（資源）;Sm reserves;samarium reserves,Sm;サマリウム（資源）;Sm reserves;samarium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,e849b6cf-efb5-4a92-b1e7-d130b4372b38,,,,,,,,,,,,1162,1,,Geological
tantalum,007440-25-7,,"Ta;タンタル（資源）;Ta reserves;tantalum reserves,Ta;タンタル（資源）;Ta reserves;tantalum reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,0f71841a-b9a4-49cc-8c71-516c2b86f94a,,,,,,,,,,,,1165,1,,
tellurium,013494-80-9,,"Te;テルル（資源）;Te reserves;tellurium reserves,Te;テルル（資源）;Te reserves;tellurium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,f4c91f71-fd22-4a49-91ee-dd9fe6c4e4ac,,,,,,,,,,,,1167,1,,
titanium,007440-32-6,,"Ti;チタン（資源）;Ti reserves;titanium reserves,Ti;チタン（資源）;Ti reserves;titanium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,c5ae18a1-98f2-4809-9ca7-c4783aa4cfc8,,,,,,,,,,,,1169,1,,
uranium,007440-61-1,,"U;ウラン（資源）;U reserves;uranium reserves,U;ウラン（資源）;U reserves;uranium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,f7d890b9-9192-425e-840d-55dacdc6deea,,,,,,,,,,,,1172001,1,,
vanadium,007440-62-2,,"V;バナジウム（資源）;V reserves;vanadium reserves,V;バナジウム（資源）;V reserves;vanadium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,68bf2d97-bf8e-4346-90e3-360d8dfb5a17,,,,,,,,,,,,1173,1,,
tungsten,007440-33-7,,"W;タングステン（資源）;W reserves;tungsten reserves,W;タングステン（資源）;W reserves;tungsten reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,95f80b11-c32f-430a-9c76-877710e2de3f,,,,,,,,,,,,1174,1,,
zinc,007440-66-6,,"Zn;亜鉛（資源）;Zn reserves;zinc reserves,Zn;亜鉛（資源）;Zn reserves;zinc reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,cdd38c6f-a5f4-409f-8a71-7d1612afd182,,,,,,,,,,,,1177,1,,
zirconium,007440-67-7,,"Zr;ジルコニウム（資源）;Zr reserves;zirconium reserves,Zr;ジルコニウム（資源）;Zr reserves;zirconium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,6f34968b-8ba5-48a7-a5e3-aed84b9a378f,,,,,,,,,,,,1178,1,,
"metallurgical coal, 29.0MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,8d74c908-46bc-4b98-bc23-4e607e39d1db,,,,,,,,,,,,1201001,1,,Geological
"hard coal, 25.7MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,7719ef28-cd4f-4bc1-8898-4137f419ea65,,,,,,,,,,,,1202,1,,Geological
"brown coal, 17.2MJ/kg",,,",lignite",kg,Geological,,,Resources/ground/Non-renewable energy resources,55617aae-0ade-4bc5-9158-ba340ccbded8,,,,,,,,,,,,1203001,1,,
"crude oil, 44.7MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,54a513ba-eaee-4403-a395-00774c14a1a4,,,,,,,,,,,,1205001,1,,
"natural gas, 54.6MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,eccec726-4ce1-43b2-a5ad-cef9080b1241,,,,,,,,,,,,1206001,1,,Geological
"Natural Gas Liquids, 46.5MJ/kg",,,"NGL,NGL",kg,Geological,,,Resources/ground/Non-renewable energy resources,d7cd8bff-4bcb-4648-87fd-43581cd38b56,,,,,,,,,,,,1207002,1,,Geological
geothermal energy,,,,MJ,Energy,,,Resources/ground/Renewable energy resources,5d2ff10f-34ba-4f8d-a73f-4f2fe13b9c3e,,,,,,,,,,,,1211,1,,
kaolin,001332-58-7,,"Al2(Si2O5)(OH2);Aluminum silicate dihydrate,Al2(Si2O5)(OH2);Aluminum silicate dihydrate",kg,Geological,,,Resources/ground/Non-renewable material resources,1ddd2d09-d87f-4f9e-b0bd-eadc9e851e05,,,,,,,,,,,,1225,1,,Geological
rock salt,,,"NaCl;rock salt;岩塩,NaCl;rock salt;岩塩",kg,Geological,,,Resources/ground/Non-renewable material resources,dc19872c-ab34-4e8f-b9cc-2eb72b94b499,,,,,,,,,,,,1228,1,,Geological
"rock, except limestone",,,"岩石;rock (except limestone);rock,rock (except limestone);rock",kg,Geological,,,Resources/ground/Non-renewable material resources,567022ed-68ed-4fef-8e49-62107f886732,,,,,,,,,,,,1229,1,,Geological
quartz sand,014808-60-7,,"珪砂;けい砂;SiO2;Silicon dioxide,SiO2;Silicon dioxide",kg,Geological,,,Resources/ground/Non-renewable material resources,b1bd620b-8069-4553-b142-c441fef9c99b,,,,,,,,,,,,1230,1,,
