SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,SourceFlowCAS,SourceFlowCAS_Nolead_0,Notes,,TAH notes
ecoinvent,Sulfide,0e940fff-f3ba-41b4-a5c6-d53a88bfc707,water/ surface water,kg,=,,Sulfide,,emission/water,kg,Edelen,Hottle,7/16/2020,018496-25-8,18496258,CAS Match,,
ecoinvent,Sulfide,8af1b210-ae85-4b60-9644-d5d180075037,water/ unspecified,kg,=,,Sulfide,,emission/water,kg,Edelen,Hottle,7/16/2020,018496-25-8,18496258,CAS Match,,
ecoinvent,Sulfite,ad0ce2f1-e6ca-4ab4-a9e7-b9c0137a8e00,water/ surface water,kg,=,,Sulfite,,emission/water,kg,Edelen,Hottle,7/16/2020,014265-45-3,14265453,CAS Match,,
ecoinvent,Sulfite,24145938-f9e3-40ea-ab06-409187ca5d26,water/ unspecified,kg,=,,Sulfite,,emission/water,kg,Edelen,Hottle,7/16/2020,014265-45-3,14265453,CAS Match,,
ecoinvent,Sulfosulfuron,6a9afa4e-3b29-4695-b742-56c893060dd3,soil/ agricultural,kg,=,,Sulfosulfuron,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,141776-32-1,141776321,CAS Match,,
ecoinvent,Sulfur,d4049741-cef2-4edd-a3af-9728b9e3a568,soil/ agricultural,kg,=,,Sulfur,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,007704-34-9,7704349,CAS Match,,
ecoinvent,"Sulfur, in ground",852281f6-db73-4250-84d3-86b569fce0c1,natural resource/ in ground,kg,=,,Sulfur,,resource/ground,kg,Edelen,Hottle,7/16/2020,007704-34-9,7704349,CAS Match,,
ecoinvent,Sulfur,16f40b1c-f7c8-4100-9916-81a260493951,soil/ industrial,kg,=,,Sulfur,,emission/ground/human-dominated/industrial,kg,Edelen,Hottle,7/16/2020,007704-34-9,7704349,CAS Match,,
ecoinvent,Sulfur,32451556-ee07-4e36-bd8a-09f8847f9c83,soil/ unspecified,kg,=,,Sulfur,,emission/ground,kg,Edelen,Hottle,7/16/2020,007704-34-9,7704349,CAS Match,,in FEDEFL
ecoinvent,Sulfur,c2cc0ba3-a0c4-4bb4-9b85-3ff9dae2061f,water/ ground-,kg,=,,Sulfur,,emission/water/subterranean,kg,Edelen,Hottle,7/16/2020,007704-34-9,7704349,CAS Match,,
ecoinvent,Sulfur,871b6f07-de14-48d4-b4aa-7745872c7e9a,water/ ocean,kg,=,,Sulfur,,emission/water/saline water body/ocean,kg,Edelen,Hottle,7/16/2020,007704-34-9,7704349,CAS Match,,
ecoinvent,Sulfur,16d8a28a-bf21-46ff-ae18-6da39e53fa17,water/ surface water,kg,=,,Sulfur,,emission/water,kg,Edelen,Hottle,7/16/2020,007704-34-9,7704349,CAS Match,,
ecoinvent,Sulfur,5ac2254e-6b60-45f5-a700-6e0b93f411c8,water/ unspecified,kg,=,,Sulfur,,emission/water,kg,Edelen,Hottle,7/16/2020,007704-34-9,7704349,CAS Match,,
ecoinvent,Sulfur dioxide,8c52f40c-69b7-4538-8923-b371523c71f5,air/ urban air close to ground,kg,=,,Sulfur dioxide,,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,7/16/2020,007446-09-5,7446095,CAS Match,,
ecoinvent,Sulfur dioxide,78c3efe4-421c-4d30-82e4-b97ac5124993,air/ non-urban air or from high stacks,kg,=,,Sulfur dioxide,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,007446-09-5,7446095,CAS Match,,
ecoinvent,Sulfur dioxide,6ce44f77-d181-4396-8fa2-2276eeeb4c08,"air/ low population density, long-term",kg,=,,Sulfur dioxide,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,007446-09-5,7446095,CAS Match,,
ecoinvent,Sulfur dioxide,16521d00-4b6f-464f-b5dd-8da4a27b15ca,air/ lower stratosphere + upper troposphere,kg,=,,Sulfur dioxide,,emission/air/stratosphere,kg,Edelen,Hottle,7/16/2020,007446-09-5,7446095,CAS Match,,
ecoinvent,Sulfur dioxide,fd7aa71c-508c-480d-81a6-8052aad92646,air/ unspecified,kg,=,,Sulfur dioxide,,emission/air,kg,Edelen,Hottle,7/16/2020,007446-09-5,7446095,CAS Match,,
