FEDEFL,ILCD,IDEA,ecoinvent
resource/air/troposphere,resource/air/renewable/unspecified,Resources/air/Renewable material resources,natural resource/in air
resource/biotic,resource/biosphere/renewable/unspecified,,natural resource/biotic
resource/ground,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground,land use/transformation,Resources/land use/Land transformation,natural resource/land
resource/ground,resource/ground/non renewable/unspecified,Resources/ground/Non-renewable material resources,natural resource/in ground
resource/ground,resource/ground/renewable/unspecified,Resources/ground/Renewable material resources,natural resource/in ground
resource/ground/human-dominated,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/agricultural,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/agricultural/rural,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/agricultural/urban,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/commercial,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/commercial/rural,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/commercial/urban,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/industrial,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/industrial/rural,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/industrial/urban,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/residential,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/residential/rural,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/residential/urban,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/rural,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/human-dominated/urban,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/subterranean,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/terrestrial,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/terrestrial/barren land,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/terrestrial/forest,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/terrestrial/grassland,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/terrestrial/shrubland,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/terrestrial/snow and ice,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/ground/terrestrial/wetland,land use/occupation,Resources/land use/land occupation,natural resource/land
resource/water,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/brackish water body,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/brackish water body/lake,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/brackish water body/lake/rural,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/brackish water body/lake/urban,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/fresh water body,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/fresh water body/lake,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/fresh water body/lake/rural,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/fresh water body/lake/urban,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/fresh water body/river,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/fresh water body/river/rural,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/fresh water body/river/urban,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/saline water body,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/saline water body/ocean,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/subterranean,resource/water/non renewable/unspecified,Resources/water/consumption,natural resource/fossil well
resource/water/subterranean/brackish water body,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/subterranean/brackish water body/confined aquifer,resource/water/non renewable/unspecified,Resources/water/consumption,natural resource/fossil well
resource/water/subterranean/brackish water body/unconfined aquifer,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/subterranean/fresh water body,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/subterranean/fresh water body/confined aquifer,resource/water/non renewable/unspecified,Resources/water/consumption,natural resource/fossil well
resource/water/subterranean/fresh water body/unconfined aquifer,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/subterranean/saline water body,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/in water
resource/water/subterranean/saline water body/confined aquifer,resource/water/non renewable/unspecified,Resources/water/consumption,natural resource/fossil well
resource/water/subterranean/saline water body/unconfined aquifer,resource/water/renewable/unspecified,Resources/water/consumption,natural resource/fossil well
,,,
,,,
,,,
,,,
,,,
