SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
ecoinvent_v3.6,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",a7f661f4-da39-4571-a48b-a8d61314ce1b,soil/agricultural,kg,=,1,FEDEFLv1.0.3,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",67c63958-8d60-3afe-a7d5-c52bb3259184,emission/ground/human-dominated/agricultural,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",7533d11b-e96e-4a99-80f2-91400a62d650,soil/industrial,kg,=,1,FEDEFLv1.0.3,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",d10bc5f1-d7b7-3566-9e86-0e1aaecd5b8c,emission/ground/human-dominated/industrial,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"Energy, gross calorific value, in biomass",01c12fca-ad8b-4902-8b48-2d5afe3d3a0f,natural resource/biotic,MJ,=,0.059410646,FEDEFLv1.0.3,Biomass,7feeb363-fbeb-37ad-937f-080834b9dc35,resource/biotic,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"Energy, gross calorific value, in biomass, primary forest",8842042d-7f07-45f8-bf43-fa83833d75de,natural resource/biotic,MJ,=,0.059410646,FEDEFLv1.0.3,Biomass,7feeb363-fbeb-37ad-937f-080834b9dc35,resource/biotic,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Amine oxide,b157329c-4179-5491-97c4-649900954ffa,air/unspecified,kg,=,1,FEDEFLv1.0.3,Lauryldimethylamine oxide,082a60c4-369b-3ccc-99fc-437db551e8c3,emission/air,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Dodecanol,eba1a8ae-fb73-52f4-b1b5-fb28dccd826d,water/unspecified,kg,=,1,FEDEFLv1.0.3,1-Dodecanol,8f84e668-1efe-34cb-9641-3ac13a7ff63a,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Oxygen,c2fa3c88-ff02-5b95-8f4a-8fa1e5183873,water/unspecified,kg,=,1,FEDEFLv1.0.3,Oxygen,2c6400e9-7d62-3168-959b-4628a3e14756,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Elemental carbon,3ff3231e-3c38-5a47-a6fd-821d11c599e0,water/unspecified,kg,=,1,FEDEFLv1.0.3,Carbon,68f4dfa4-87c3-33fe-a1c0-bb0610f2fb1b,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,2-chlorobenzaldehyde,2b8204fa-c9bf-5465-9aa2-d79024a19b1a,water/unspecified,kg,=,1,FEDEFLv1.0.3,2-Chlorobenzaldehyde,7b9a6674-8b19-36f1-aed1-05ef05c62ad3,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Diethanolamine,e898ea74-a3a1-5b26-a61e-384bffaf2bd6,water/unspecified,kg,=,1,FEDEFLv1.0.3,Diethanolamine,e200edf4-9f8c-32d1-857b-83015bf29b09,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
