SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated
IDEAv2.2,hafnium,9968150e-7e94-4160-b8e4-dd8ea5f31899,Resources/ground/Non-renewable element resources,kg,=,1,Hafnium,664d9c90-8624-3c20-94e9-8c2f744614f2,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,mercury,4be0a586-4448-4010-998a-ad6a2869503c,Resources/ground/Non-renewable element resources,kg,=,1,Mercury,26f93070-ff02-3c4b-8037-cb91d9ff054f,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,holmium,dfe779e1-4c05-4c60-a569-806abe76b2ab,Resources/ground/Non-renewable element resources,kg,=,1,Holmium,29af6b3c-b537-3618-93d3-2f7ae1d25453,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,iodine,a825646e-7f2b-452c-a036-6ae423cfff38,Resources/ground/Non-renewable element resources,kg,=,1,Iodine,4fb88d7f-858d-37b1-8263-33903156e995,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,indium,bea1eddd-562f-4f97-b70a-d3b161c2abb0,Resources/ground/Non-renewable element resources,kg,=,1,Indium,dfea68a5-2a55-3b84-a8f2-f8903ea4aee0,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,iridium,09b23d44-2608-4dd4-8754-963458aa646c,Resources/ground/Non-renewable element resources,kg,=,1,Iridium,dd75d561-b159-3257-9e33-0a2d64362510,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,potassium,6bab60bf-c943-4688-afff-7e8afe25ec37,Resources/ground/Non-renewable element resources,kg,=,1,Potassium,0077844b-a036-3b20-985a-d2b9c6826355,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,lanthanum,ecd7d9ae-c51c-47eb-aafd-e429420981eb,Resources/ground/Non-renewable element resources,kg,=,1,Lanthanum,1176673b-fd98-3ac0-9374-6a7b48d85a23,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,lithium,ef47b617-9aa2-4b3a-a2f4-84e51cd27542,Resources/ground/Non-renewable element resources,kg,=,1,Lithium,4265cb8a-11b6-3949-90ee-9eec7a7ec5a3,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,magnesium,c3501bb9-eb74-4f6e-99b6-097eae15f97e,Resources/ground/Non-renewable element resources,kg,=,1,Magnesium,8284cb6c-7887-322d-8abd-8682e981791a,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,manganese,f8fc16d8-0e67-4cf3-8610-ef30027d9a42,Resources/ground/Non-renewable element resources,kg,=,1,Manganese,7ad12bb9-ceb8-3dea-8afc-3bb5beab4cf6,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,molybdenum,1444ffb9-d66c-483f-9fe5-b2147ad007c3,Resources/ground/Non-renewable element resources,kg,=,1,Molybdenum,b7643fb5-0299-371b-b148-3e24ab1c469e,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,sodium,ea38f710-24b2-4fab-97d0-371ff3223ca1,Resources/ground/Non-renewable element resources,kg,=,1,Sodium,eee5f74d-cf68-37fd-9c32-a95c371d95eb,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,niobium,a47dc3a4-25c5-45f9-a6f5-52d965cfc961,Resources/ground/Non-renewable element resources,kg,=,1,Niobium,7679ba3a-826b-3c49-a841-d0898a301676,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,neodymium,956236fb-ef54-4e68-b259-b411093e80fb,Resources/ground/Non-renewable element resources,kg,=,1,Neodymium,174ae489-f13a-3e45-92fb-38db2946599c,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,nickel,5a74ef72-49d8-42fe-8b7a-264dd43679df,Resources/ground/Non-renewable element resources,kg,=,1,Nickel,d1ce496a-891d-3fae-9188-7345718cd600,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,osmium,9995d561-5305-43f0-9f00-8c6a603aec4a,Resources/ground/Non-renewable element resources,kg,=,1,Osmium,3d8fb54d-4855-3d85-92f9-ef808f71cb97,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,phosphorus,03d106aa-5320-4b1c-9607-6c3a0812ac5d,Resources/ground/Non-renewable element resources,kg,=,1,Phosphorus,42cfce06-1ae3-3bf8-b270-b9a3f196e3aa,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,protactinium,5501d336-ac25-4245-882a-d28dd7f8901e,Resources/ground/Non-renewable element resources,kg,=,1,Protactinium,d1332788-30ea-3a48-830c-cd12e7ccd1e8,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,lead,9bf0835b-b30c-4204-96d2-c022bab05775,Resources/ground/Non-renewable element resources,kg,=,1,Lead,b66af8c0-de54-3a35-ace0-7743af98f6de,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,palladium,bf5e86c2-048d-4c97-9892-1863396c371d,Resources/ground/Non-renewable element resources,kg,=,1,Palladium,c84f9368-f27b-3698-badf-84728a9a170b,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,polonium,a391c2b9-9e24-484c-83c3-b12aeb5509f0,Resources/ground/Non-renewable element resources,kBq,=,6.02E-15,Polonium,eba8c292-33f6-3b8a-8255-c02a53281ef4,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,praseodymium,17577e17-718b-4156-bdbf-6db6be7f9655,Resources/ground/Non-renewable element resources,kg,=,1,Praseodymium,afaf5346-5bd1-37ec-afdb-cab52e335af9,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,platinum,778a0da7-8c14-455d-bd1f-65ff6caa5929,Resources/ground/Non-renewable element resources,kg,=,1,Platinum,12aaa508-a741-36a0-99e5-b2ebca11c98b,resource/ground,kg,Hottle,Edelen,8/24/2020
