SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated
IDEAv2.3,"crude oil, 44.7MJ/kg",{6BE2593F-447C-4679-8AFC-A115D79D312A},Resources/ ground/ Non-renewable energy resources,kg,=,44.7,Crude oil,0ed0590b-2e71-385e-86bb-3d2ea0505734,resource/water/subterranean,MJ,Edelen,Hottle,7/2/2020
IDEAv2.3,nickel,{27E8373A-8E2D-4F26-BC8F-417256001F71},Emissions/ water/ unspecified,kg,=,,Nickel,5a0f4337-3cdb-3484-84b4-67f1f5d0c113,emission/water,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,nickel,{5472852C-7480-4ACA-898B-F7B571A4B442},Emissions/ air/ unspecified,kg,=,,Nickel,50f56ea3-e292-3c09-89d2-74466af5f11e,emission/air,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,ammonium,{F9DB9AD3-5AFE-43AD-A80F-9AF614AB11D6},Emissions/ water/ unspecified,kg,=,,Ammonium,d9134087-d959-37a7-b2b0-6c8a620f4c4d,emission/water,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,chromium,{9B19AAB9-5AB6-4897-9217-B4DD6C8056E4},Emissions/ water/ unspecified,kg,=,,Chromium,8a7ef355-2f16-3368-afc8-cf40ed441619,emission/water,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,quartz sand,{60D807C4-E0D9-4330-904E-FF2FCDE1151A},Resources/ ground/ Non-renewable material resources,kg,=,,Quartz,6a275bf1-1e36-367b-82aa-5eb8b3af02e8,resource/ground,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,"1,3-dichloropropene",{77205947-C355-4876-9744-49CDED47516D},Emissions/ air/ unspecified,kg,=,,"1,3-Dichloropropene",1cb3814f-067b-3f04-af78-4f6ad4c132b7,emission/air,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,zinc,{678F7E77-4965-417D-9E76-001DFCCAAAB8},Emissions/ water/ unspecified,kg,=,,Zinc,41f104ab-8f49-3924-9b57-98ed81cd54a0,emission/water,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,zinc,{720EE285-9C3B-438B-9AE1-57D2176FD8E4},Emissions/ air/ unspecified,kg,=,,Zinc,435bfa52-d2d3-3760-abf4-27de892972ac,emission/air,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,zinc,{B62BA18A-0665-466C-83EA-9DEDE54E0408},Emissions/ ground/ unspecified,kg,=,,Zinc,927b067a-7537-36f6-bad0-ca7b576845fd,emission/ground,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,praseodymium,{6A2BA045-51B7-482C-B3BA-286D35D39D83},Resources/ ground/ Non-renewable element resources,kg,=,,Praseodymium,afaf5346-5bd1-37ec-afdb-cab52e335af9,resource/ground,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,bismuth,{1E71C35D-5184-499F-8AA5-1AF044846620},Resources/ ground/ Non-renewable element resources,kg,=,,Bismuth,a4f26c62-48c7-3efe-8b38-0ce1e4493fff,resource/ground,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,manganese,{93668A45-D41A-4BB4-9631-DEC82C2816C3},Resources/ ground/ Non-renewable element resources,kg,=,,Manganese,7ad12bb9-ceb8-3dea-8afc-3bb5beab4cf6,resource/ground,kg,Edelen,Hottle,7/2/2020
IDEAv2.3,nickel,{ADD9D904-042C-4053-B568-E78642F15705},Resources/ ground/ Non-renewable element resources,kg,=,,Nickel,d1ce496a-891d-3fae-9188-7345718cd600,resource/ground,kg,Edelen,Hottle,7/2/2020
