SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,,SourceFlowCAS,SourceFlowCAS,Notes,TAH notes,
IDEA,kaolin,{E8FF6012-B983-4BD6-8D0E-6DB9481333D3},Resources/ ground/ Non-renewable material resources,kg,=,,Kaolin,,resource/ground,kg,Edelen,Hottle,7/2/2020,,001332-58-7,1332587,CAS Match,,1
IDEA,zirconium,{309F6647-A4DC-446B-B821-4DF601300EC6},Resources/ ground/ Non-renewable element resources,kg,=,,Zirconium,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-67-7,7440677,CAS Match,,1
IDEA,cadmium,{7339F3E9-0C2F-4555-89FD-72ADC6952464},Emissions/ water/ unspecified,kg,=,,Cadmium,,emission/water,kg,Edelen,Hottle,7/2/2020,,007440-43-9,7440439,CAS Match,,1
IDEA,cadmium,{C6A355AF-39EB-4ABE-A8D3-452801DEC91E},Emissions/ air/ unspecified,kg,=,,Cadmium,,emission/air,kg,Edelen,Hottle,7/2/2020,,007440-43-9,7440439,CAS Match,,1
IDEA,"NOx, urban air close to ground",{667DB08E-50E5-4343-B331-78E290B2B80D},Emissions/ air/ urban air close to ground,kg,=,,Nitrogen oxides,,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,7/10/2020,,,,Manual Match,,1
IDEA,thiobencarb,{0E8BE428-0CB6-41E5-B7DC-6E12DC77E8F1},Emissions/ air/ unspecified,kg,=,,Thiobencarb,,emission/air,kg,Edelen,Hottle,7/2/2020,,028249-77-6,28249776,CAS Match,,1
IDEA,sulfur hexafluoride,{9B2E5CF0-8528-4D73-90EA-EAEE8A1F94F9},Emissions/ air/ unspecified,kg,=,,Sulfur hexafluoride,,emission/air,kg,Edelen,Hottle,7/2/2020,,002551-62-4,2551624,CAS Match,,1
IDEA,antimony,{7B0D2689-00BB-4562-9953-B7459D983C0D},Resources/ ground/ Non-renewable element resources,kg,=,,Antimony,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-36-0,7440360,CAS Match,,1
IDEA,silver,{C0DD54B3-E72B-4188-BC87-C26388F3ACED},Resources/ ground/ Non-renewable element resources,kg,=,,Silver,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-22-4,7440224,CAS Match,,1
IDEA,lanthanum,{B5203955-3DA0-4816-89EC-44D0394B7A59},Resources/ ground/ Non-renewable element resources,kg,=,,Lanthanum,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007439-91-0,7439910,CAS Match,,1
IDEA,lithium,{5791064D-59E1-4AF5-AEC3-59A1FFCAC88F},Resources/ ground/ Non-renewable element resources,kg,=,,Lithium,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007439-93-2,7439932,CAS Match,,1
IDEA,volatile organic compound,{685B32A2-E971-417B-8827-FB47AC7BC0D8},Emissions/ air/ unspecified,kg,=,,Volatile organic compounds,,emission/air,kg,Edelen,Hottle,7/2/2020,,,,Manual Match,,1
IDEA,Halon-1001,{DE6A08C8-4F03-4DC8-91F0-5A0B9C7D3F58},Emissions/ air/ unspecified,kg,=,,Methyl bromide,,emission/air,kg,Edelen,Hottle,7/2/2020,,000074-83-9,74839,CAS Match,,1
IDEA,lead,{01417C87-E09B-4BC7-BE04-1EB2443C9436},Emissions/ water/ unspecified,kg,=,,Lead,,emission/water,kg,Edelen,Hottle,7/2/2020,,007439-92-1,7439921,CAS Match,,1
IDEA,cobalt,{83DA0FCB-BEEF-484E-B441-13CA11E19676},Emissions/ air/ unspecified,kg,=,,Cobalt,,emission/air,kg,Edelen,Hottle,7/2/2020,,,,Name Match,,1
IDEA,aluminium,{46EF7015-7DFE-44B4-B640-2D722B450D6A},Resources/ ground/ Non-renewable element resources,kg,=,,Aluminum,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007429-90-5,7429905,CAS Match,,1
IDEA,orchard,{EBF9713E-52C0-497A-8682-C04F4F75E1B1},Resources/ land use/ land occupation,m2year,=,,Land use,,resource/ground/human-dominated/agricultural,m2*a,Edelen,Hottle,7/9/2020,,,,Manual Match,,0
IDEA,air,{763A1C89-F60C-4357-B6DE-B43F41759FC0},Resources/ air/ Renewable material resources,kg,=,,Air,,resource/air,kg,Edelen,Hottle,7/2/2020,,,,Name Match,,1
IDEA,diamond,{1F60CC02-D896-48FC-A143-6FC5056AAD3A},Resources/ ground/ Non-renewable material resources,kg,=,,Diamond,,resource/ground,kg,Edelen,Hottle,7/2/2020,,,,Name Match,,1
IDEA,iron,{763F0557-9E80-4539-9F36-835E3B4E80DC},Resources/ ground/ Non-renewable element resources,kg,=,,Iron,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007439-89-6,7439896,CAS Match,,1
IDEA,helium,{878B7F33-0FA6-4456-A31A-02D75928D9A4},Resources/ air/ Renewable element resources,kg,=,,Helium,,resource/air,kg,Edelen,Hottle,7/2/2020,,007440-59-7,7440597,CAS Match,,1
IDEA,CFC-10,{99B49746-6210-4BBE-BAAA-0AD1E3EEDAB4},Emissions/ water/ unspecified,kg,=,,Carbon tetrachloride,,emission/water,kg,Edelen,Hottle,7/2/2020,,000056-23-5,56235,CAS Match,,1
IDEA,sodium carbonate,{FB1C7CA5-39D0-45C3-872F-F0F41E32A6D4},Resources/ ground/ Non-renewable material resources,kg,=,,Sodium carbonate,,resource/ground,kg,Edelen,Hottle,7/2/2020,,000497-19-8,497198,CAS Match,,1
IDEA,ground water,{4B3803A2-AA7F-4887-98D4-BE507B82B83F},Resources/ water/ withdrawal,m3,=,1000,Water,,resource/water/subterranean,kg,Edelen,Hottle,7/2/2020,,007732-18-5,7732185,Manual Match,,1
IDEA,surface water,{052ECDE8-F80C-4AFA-99C8-7D8343493134},Resources/ water/ withdrawal,m3,=,1000,Water,,resource/water,kg,Edelen,Hottle,7/2/2020,,007732-18-5,7732185,Manual Match,,1
IDEA,hydrocarbons,{CEE6A7A5-2C40-4869-B6E7-CEB728D29ED4},Emissions/ water/ unspecified,kg,=,,Hydrocarbons,,emission/water,kg,Edelen,Hottle,7/2/2020,,,,Manual Match,,1
IDEA,hydrocarbons,{3D6515F3-F547-46B0-B522-F318B206ECDF},Emissions/ air/ unspecified,kg,=,,Hydrocarbons,,emission/air,kg,Edelen,Hottle,7/2/2020,,,,Manual Match,,1
IDEA,transport artery,{81802E55-7522-4C5A-B461-E1494A3C2A07},Resources/ land use/ land occupation,m2year,=,,Land use,,resource/ground/human-dominated/industrial,m2*a,Edelen,Hottle,7/9/2020,,,,Manual Match,,0
IDEA,chromium,{490CC358-9703-49EF-962A-566264B9C287},Emissions/ air/ unspecified,kg,=,,Chromium,,emission/air,kg,Edelen,Hottle,7/2/2020,,007440-47-3,7440473,CAS Match,,1
