Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,
vanadium,007440-62-2,,"V;バナジウム（資源）;V reserves;vanadium reserves,V;バナジウム（資源）;V reserves;vanadium reserves",kg,Element or Compound,,,Emissions/air/unspecified,b50ce6cf-b850-47b1-8e2e-f1961765d501,,,22541-77-1; 22537-31-1; 7440-62-2,
volatile organic compound,,,"VOC,VOC",kg,Groups of Chemicals ,,,Emissions/air/unspecified,685b32a2-e971-417b-8827-fb47ac7bc0d8,,,,
zinc,007440-66-6,,"Zn;亜鉛（資源）;Zn reserves;zinc reserves,Zn;亜鉛（資源）;Zn reserves;zinc reserves",kg,Element or Compound,,,Emissions/air/unspecified,720ee285-9c3b-438b-9ae1-57d2176fd8e4,,,7440-66-6,
PFC-116,000076-16-4,,"C2F6;Hexafluoroethane;ヘキサフルオロエタン;F116;PFC-116;perfluoroethane;hexafluoroethane;F116;PFC-116,C2F6;Hexafluoroethane;ヘキサフルオロエタン;F116;PFC-116;perfluoroethane;hexafluoroethane;F116;PFC-116",kg,Element or Compound,,,Emissions/air/unspecified,3ac5b93a-9b6d-4c46-aa60-34b7ca80df78,,,,
PFC-14,000075-73-0,,"CF4;Carbon tetrafluoride;テトラフルオロメタン;四フッ化炭素;PFC-14;perfluoromethane;tetrafluoromethane;carbon tetrafluoride;PFC-14,CF4;Carbon tetrafluoride;テトラフルオロメタン;四フッ化炭素;PFC-14;perfluoromethane;tetrafluoromethane;carbon tetrafluoride;PFC-14",kg,Element or Compound,,,Emissions/air/unspecified,e31ac8e4-16de-43b0-9a01-ac88b5257ecc,,,75-73-0,
hydrogen fluoride,007664-39-3,,"HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF,HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF",kg,Element or Compound,,,Emissions/air/unspecified,1a7812cf-2df6-4560-98cf-95d7b0550c67,,,37249-79-9; 32057-09-3; 7664-39-3,
hydrocarbons,,,CxHy;hydrocarbons,kg,Groups of Chemicals ,,,Emissions/air/unspecified,3d6515f3-f547-46b0-b522-f318b206ecdf,,,,
transpiration_surface water,,,"蒸発散_表層水,evapotranspiration_surface water",m3,Water,,,Resources/water/consumption,d8c7c8f0-669e-4e56-91a1-f0a61b291865,,,,007732-18-5
transpiration_ground water,,,"蒸発散_地下水,evapotranspiration_ground water",m3,Water,,,Resources/water/consumption,4cbd189d-4d24-4ad6-8395-45cc5515b544,,,,007732-18-5
transpiration rain water,,,"蒸発散_雨水,evapotranspiration_rainwater",m3,Water,,,Resources/water/consumption,2caf1567-ae99-4cf0-b6d5-80dc4d4737e7,,,,007732-18-5
diuron,000330-54-1,,"C9H10Cl2N2O;1,1-dimethyl-3-(3,4-Dichlorophenyl)urea;ジウロン;DCMU;3-(3,4-dichlorophenyl)-1,1-dimethylurea;diuron;DCMU,C9H10Cl2N2O;1,1-dimethyl-3-(3,4-Dichlorophenyl)urea;DCMU;3-(3,4-dichlorophenyl)-1,1-dimethylurea;diuron;DCMU",kg,Element or Compound,,,Emissions/air/unspecified,0d223627-d9a4-47e3-8ee2-892ce1815d24,,,330-54-1; 330-54-1,
mancozeb,008018-01-7,,"C4H6MnN2S4;マンコゼブ;complex compounds of manganese manganese N,N'-ethylenebis(dithiocarbamate) and zinc N,N'-ethylenebis(dithiocarbamate);mancozeb,C4H6MnN2S4;マンコゼブ;complex compounds of manganese manganese N,N'-ethylenebis(dithiocarbamate) and zinc N,N'-ethylenebis(dithiocarbamate);mancozeb",kg,Element or Compound,,,Emissions/air/unspecified,9e326fd5-6075-4254-ab73-ea27ba990005,,,8018-01-7; 8018-01-7; 8018-01-7,
malathion,000121-75-5,,"C10H19O6PS2;1,2-di(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;1,2-ジ(エトキシカルボニル)エチル O,O-ジメチルホスホロジチオアート;マラチオン;O,O-dimethyl-S-(1,2-dicarbethoxyethyl) phosphorodithioate;1,2-di(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;malathion,C10H19O6PS2;1,2-di(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;1,2-ジ(エトキシカルボニル)エチル O,O-ジメチルホスホロジチオアート;マラチオン;O,O-dimethyl-S-(1,2-dicarbethoxyethyl) phosphorodithioate;1,2-di(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate;malathion",kg,Element or Compound,,,Emissions/air/unspecified,9a968f39-7bdd-4aae-b434-a8256e88b9bf,,,121-75-5; 141318-03-8; 121-75-5; 121-75-5,
copper,007440-50-8,,,kg,Element or Compound,,,Emissions/air/unspecified,9122d556-45da-4ee5-8766-8d11c02a7841,,,7440-50-8,
cobalt,007440-48-4,,Co;コバルト（資源）;Co reserves;cobalt reserves,kg,Element or Compound,,,Emissions/air/unspecified,83da0fcb-beef-484e-b441-13ca11e19676,,,7440-48-4,
"2,3,7,8-tetrachlorodibenzo-p-dioxin",001746-01-6,,"C12H4Cl4O2;2,3,7,8 - TCDD;2,3,7,8-TCDD;ダイオキシン;2,3,7,8-tetrachlorodibenzo-p-dioxin;2,3,7,8-TCDD;dioxin,C12H4Cl4O2;2,3,7,8 - TCDD;2,3,7,8-TCDD;2,3,7,8-tetrachlorodibenzo-p-dioxin;2,3,7,8-TCDD;dioxin",kg,Element or Compound,,,Emissions/air/unspecified,dc84f008-5e0c-42eb-a222-68d4a6103641,,,114320-51-3; 1746-01-6; 1746-01-6,
metolachlor,051218-45-2,,"C15H22ClNO2;2-chloro-6'-ethyl-N-(2-methoxy-1-methylethyl)-o-acetoluidide;メトラクロール;2-chloro-2'-ethyl-N-(2-methoxy-1-methylethyl)-6'-methylacetanilide;metolachlor,C15H22ClNO2;2-chloro-6'-ethyl-N-(2-methoxy-1-methylethyl)-o-acetoluidide;メトラクロール;2-chloro-2'-ethyl-N-(2-methoxy-1-methylethyl)-6'-methylacetanilide;metolachlor",kg,Element or Compound,,,Emissions/air/unspecified,7a9f0317-c527-4cab-b7eb-8efe396d7e5f,,,82535-90-8; 51218-45-2; 51218-45-2,
chlorothalonil,001897-45-6,,"C8Cl4N2;1,3-dicyano-2,4,5,6-tetrachlorobenzene;クロロタロニル;TPN;tetrachloroisophthalonitrile;chlorothalonil;TPN,C8Cl4N2;1,3-dicyano-2,4,5,6-tetrachlorobenzene;クロロタロニル;TPN;tetrachloroisophthalonitrile;chlorothalonil;TPN",kg,Element or Compound,,,Emissions/air/unspecified,cedff152-e40e-4c1c-8bdc-07ae6016e39a,,,1897-45-6; 1897-45-6,
diazinon,000333-41-5,,"C12H21N2O3PS;O,O-diethyl O-(2-isopropyl-4-methyl-6-pyrimidinyl) thiophosphoric acid;ダイアジノン;O,O-diethyl O-2-isopropyl-6-methyl-4-pyrimidinyl phosphorothioate;diazinon,C12H21N2O3PS;O,O-diethyl O-(2-isopropyl-4-methyl-6-pyrimidinyl) thiophosphoric acid;ダイアジノン;O,O-diethyl O-2-isopropyl-6-methyl-4-pyrimidinyl phosphorothioate;diazinon",kg,Element or Compound,,,Emissions/air/unspecified,29fa1b51-8085-429a-b9c5-c674b8078a11,,,333-41-5; 333-41-5,
thiobencarb,028249-77-6,,"C12H16ClNOS;4-chlorobenzyl diethylthiolcarbamate;Ｎ,Ｎ-ジエチルチオカルバミン酸S-4-クロロベンジル;チオベンカルブ;ベンチオカルブ;S-4-chlorobenzyl n,n-diethylthiocarbamate;N,N-diethylthiocarbamate;thiobencarb;benthiocarb,C12H16ClNOS;4-chlorobenzyl diethylthiolcarbamate;Ｎ,Ｎ-ジエチルチオカルバミン酸S-4-クロロベンジル;チオベンカルブ;ベンチオカルブ;S-4-chlorobenzyl n,n-diethylthiocarbamate;N,N-diethylthiocarbamate;thiobencarb;benthiocarb",kg,Element or Compound,,,Emissions/air/unspecified,0e8be428-0cb6-41e5-b7dc-6e12dc77e8f1,,,28249-77-6; 28249-77-6,
permethrin,052645-53-1,,"C21H20Cl2O3;ペルメトリン;3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate;permethrin,C21H20Cl2O3;ペルメトリン;3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate;permethrin",kg,Element or Compound,,,Emissions/air/unspecified,eb170626-ec42-4f39-8fa2-67ff30f8d93d,,,93389-07-2; 52341-33-0; 82523-59-9; 52645-53-1; 52341-32-9; 52645-53-1,
"1,3-dichloropropene",000542-75-6,,"C3H4Cl2;1,3-ジクロロ-1-プロピレン;D-D;1,3-dichloropropene;1,3-dichloro-1-propylene;D-D,C3H4Cl2;D-D;1,3-dichloropropene;1,3-dichloro-1-propylene;D-D",kg,Element or Compound,,,Emissions/air/unspecified,77205947-c355-4876-9744-49cded47516d,,,5427-56-5; 542-75-6; 10061-02-6,
Halon-1001,000074-83-9,,"CH3Br;Bromomethane;臭化メチル;モノブロモメタン;bromomethane;methyl bromide;monobromomethane,CH3Br;Bromomethane;臭化メチル;モノブロモメタン;bromomethane;methyl bromide;monobromomethane",kg,Element or Compound,,,Emissions/air/unspecified,de6a08c8-4f03-4dc8-91f0-5a0b9c7d3f58,,,,
CFC-11,000075-69-4,,CCl3F;Trichlorofluoromethane;トリクロロフルオロメタン;フロン11;R-11;CFC-11;trichlorofluoromethane;F-11;R-11,kg,Element or Compound,,,Emissions/air/unspecified,a5cc776b-a2e1-443b-9713-4c5c068e78bb,,,75-69-4; 75-69-4,
CFC-113,026523-64-8,,"C2Cl3F3;1,1,2-trichloro-1,2,2-trifluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,919b596b-4dd3-4543-b473-e5db09fa6522,,,76-13-1; 76-13-1,
CFC-12,000075-71-8,,CCl2F2;Dichlorodifluoromethane;ジクロロジフルオロメタン;CFC-12;dichlorodifluoromethane,kg,Element or Compound,,,Emissions/air/unspecified,3456085c-3e77-4f36-bced-5b66b77ce440,,,75-71-8,
Halon-1301,000075-63-8,,CBrF3;Bromotrifluoromethane ;ブロモトリフルオロメタン;トリフルオロブロモメタン;HALON-1301;bromotrifluoromethane;trifluorobromomethane,kg,Element or Compound,,,Emissions/air/unspecified,be9a84b0-7041-4483-8d22-3c19472eb812,,,75-63-8,
HCFC-123,000306-83-2,,"C2HCl2F3;2,2-dichloro-1,1,1-tri-fluoroethane;2,2-ジクロロ-1,1,1-トリフルオロエタン;1,1-ジクロロ-2,2,2-トリフルオロエタン;HCFC-123;2,2-dichloro-1,1,1-trifluoroethane;1,1-dichloro-2,2,2-trifluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,80128869-2842-4f88-bb89-cd5d17b1a1bf,,,34077-87-7; 306-83-2,
HCFC-124,002837-89-0,,"C2HClF4;2-chloro-1,1,1,2-tetrafluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,d527b410-b021-4123-9378-81ca5fb9b4b3,,,2837-89-0,
HCFC-140,000071-55-6,,"C2H3Cl3;1,1,1-trichloroethane;メチルクロロホルム;クロロテン;1,1,1-trichloroethane;methyl chloroform;chlorothene",kg,Element or Compound,,,Emissions/air/unspecified,26234dc3-c6e4-439e-9c4d-972d27ed4596,,,,
HCFC-142b,000075-68-3,,"C2H3ClF2;1-chloro-1,1-difluoroethane;1-クロロ-1,1-ジフルオロエタン;1,1,1-クロロジフルオロエタン;1,1-ジフルオロ-1-クロロエタン;HCFC-142b;1-chloro-1,1-difluoroethane;1,1,1-chlorodifluoroethane;1,1-difluoro-1-chloroethane",kg,Element or Compound,,,Emissions/air/unspecified,eb13bc94-509a-45b0-8ed1-ff089672f8b7,,,75-68-3,
HCFC-22,000075-45-6,,CHClF2;Chlorodifluoromethane;クロロジフルオロメタン;ジフルオロクロロメタン;HCFC-22;chlorodifluoromethane;difluorochloromethane,kg,Element or Compound,,,Emissions/air/unspecified,995725f4-e61d-41b2-9fa5-49b13b8ce508,,,75-45-6,
(phenoxymethyl)-oxirane,000122-60-1,,,kg,Element or Compound,,,Emissions/air/unspecified,61752bc0-401e-4d08-9bd1-560e4f9b00a6,,,,
"1,1,2-trichloroethane",000079-00-5,,,kg,Element or Compound,,,Emissions/air/unspecified,88e4be18-abd0-416a-8e30-8dc8509a7769,,,79-00-5; 79-00-5,
"1,1-dichloroethylene",000075-35-4,,,kg,Element or Compound,,,Emissions/air/unspecified,80f59b02-fc68-436e-aa3d-3eaaef4bbf88,,,75-35-4; 9002-85-1; 75-35-4,
"1,2,4-trimethylbenzene",000095-63-6,,,kg,Element or Compound,,,Emissions/air/unspecified,d708bbfe-6c29-4e40-8705-b6ad97f06d8a,,,95-36-3; 95-63-6; 95-63-6,
"1,2-benzenediol",000120-80-9,,,kg,Element or Compound,,,Emissions/air/unspecified,41715c2a-ac41-44f6-ae46-d7a2021fd7a6,,,12385-08-9; 120-80-9; 120-80-9,
"1,2-dichloroethane",000107-06-2,,,kg,Element or Compound,,,Emissions/air/unspecified,3b15da3f-8966-40a2-9e26-26cdca31f964,,,52399-93-6; 107-06-2; 107-06-2,
"1,2-dichloropropane",000078-87-5,,,kg,Element or Compound,,,Emissions/air/unspecified,04cb8c2d-4bf8-4677-88e8-0efc57eaddb2,,,78-87-5; 78-87-5,
"1,3,5-trimethylbenzene",000108-67-8,,,kg,Element or Compound,,,Emissions/air/unspecified,e076a7c8-98a2-4710-8471-c2c940d4b802,,,108-67-8; 108-67-8,
"1,4-dioxane",000123-91-1,,,kg,Element or Compound,,,Emissions/air/unspecified,0b51f429-c849-4c7b-9a08-3f57319ecdc2,,,54841-74-6; 39449-24-6; 123-91-1; 123-91-1,
1-chloro-4-nitrobenzene,000100-00-5,,,kg,Element or Compound,,,Emissions/air/unspecified,864d9415-c1ec-4afa-86e9-b5c8938816f4,,,100-00-5; 100-00-5,
1-octanol,000111-87-5,,,kg,Element or Compound,,,Emissions/air/unspecified,85de9f61-2177-40b7-a575-d618f4c1a1c9,,,67700-96-3; 111-87-5; 68603-15-6; 111-87-5,
"2,4,6-tribromophenol",000118-79-6,,,kg,Element or Compound,,,Emissions/air/unspecified,d4aa836c-6564-4d23-b7f8-451b0aab32c6,,,118-79-6; 118-79-6,
"2,4/2,6-toluenediisocyanate (mixture)",026471-62-5,,,kg,Element or Compound,,,Emissions/air/unspecified,20875c2f-8d95-4957-b214-1f025c9afad1,,,,
2-ethoxyethanol,000110-80-5,,,kg,Element or Compound,,,Emissions/air/unspecified,e146fcc0-7cf0-43a6-9289-219d80f3e9fd,,,110-80-5; 110-80-5,
2-ethoxyethyl acetate,000111-15-9,,,kg,Element or Compound,,,Emissions/air/unspecified,6973363d-9e0b-4cc9-978a-ebd159828a16,,,111-15-9; 111-15-9,
2-methoxyethanol,000109-86-4,,,kg,Element or Compound,,,Emissions/air/unspecified,b67384df-1df6-42aa-a890-9f4ef47e8600,,,109-86-4; 97840-77-2; 32718-54-0; 108152-85-8; 109-86-4,
"4,4'-methylenebis-(2-chlorobenzenamine",000101-14-4,,,kg,Element or Compound,,,Emissions/air/unspecified,024abd98-cb8a-4075-8494-b43140a4e6bb,,,,
"4,4'-methylenedianiline",000101-77-9,,,kg,Element or Compound,,,Emissions/air/unspecified,34a64199-477b-4a00-aa13-045e811e295a,,,101-77-9; 101-77-9,
4-ethenylcyclohexene,000100-40-3,,,kg,Element or Compound,,,Emissions/air/unspecified,0542f3c2-1f7f-4601-8b79-577667327233,,,100-40-3; 100-40-3,
acenaphthene,000083-32-9,,,kg,Element or Compound,,,Emissions/air/unspecified,a9fcb767-194a-4dd9-928c-770a74a74835,,,83-32-9; 83-32-9,
acetaldehyde,000075-07-0,,,kg,Element or Compound,,,Emissions/air/unspecified,66b2f443-5adb-4b0e-bd35-184a953a0242,,,75-07-0; 2188-31-0; 75-07-0,
acrolein,000107-02-8,,,kg,Element or Compound,,,Emissions/air/unspecified,60b584ec-dd77-431b-a077-695b408b62e9,,,107-02-8; 81788-96-7; 25068-14-8; 107-02-8,
acrylamide,000079-06-1,,,kg,Element or Compound,,,Emissions/air/unspecified,fc26445a-c999-4ddf-abdd-13970ed3b8d4,,,108152-65-4; 79-06-1; 79-06-1,
acrylic acid,000079-10-7,,,kg,Element or Compound,,,Emissions/air/unspecified,9b00c216-811a-4a92-b953-b84d9a81b020,,,55927-87-2; 79-10-7; 29862-29-1; 76050-42-5; 25987-55-7; 9003-01-4; 79-10-7,
aniline,000062-53-3,,,kg,Element or Compound,,,Emissions/air/unspecified,586b7f5e-e556-4a96-b28d-0f254cc1c059,,,1122-59-4; 62-53-3; 55147-71-2; 62-53-3,
anthracene,000120-12-7,,,kg,Element or Compound,,,Emissions/air/unspecified,6fadcc36-914c-4991-962c-e934238cb317,,,54261-80-2; 120-12-7; 120-12-7,
antimony,007440-36-0,,,kg,Element or Compound,,,Emissions/air/unspecified,7dc0f43c-d80d-48b1-901f-ce2ff2dadcaa,,,7440-36-0,
benzaldehyde,000100-52-7,,,kg,Element or Compound,,,Emissions/air/unspecified,912cd2e8-30b8-45d5-9d13-597fa7866e7b,,,55279-75-9; 100-52-7; 10383-90-1; 100-52-7,
benzene,000071-43-2,,,kg,Element or Compound,,,Emissions/air/unspecified,dd10e4d7-beb9-44fe-9db5-7e33041f4ac4,,,71-43-2; 26181-88-4; 14941-52-7; 54682-86-9; 71-43-2,
benzylchloride,000100-44-7,,,kg,Element or Compound,,,Emissions/air/unspecified,59a479cf-bc49-4008-97c7-ccf2f3a681ec,,,100-44-7; 33712-34-4; 100-44-7,
biphenyl,000092-52-4,,,kg,Element or Compound,,,Emissions/air/unspecified,fb91fb63-5e04-4e3a-8939-16447ccbdf5c,,,7291-05-6; 92-52-4; 68409-73-4; 92-52-4,
butadiene,000106-99-0,,,kg,Element or Compound,,,Emissions/air/unspecified,17836ea9-777f-4dde-aa97-1a7204ded4b3,,,1983-06-8; 68514-37-4; 68441-48-5; 31567-90-5; 1441-56-1; 25339-57-5; 9003-17-2; 106-99-0,
butyl acrylate,000141-32-2,,,kg,Element or Compound,,,Emissions/air/unspecified,455ad236-dc5b-412e-b15c-b75c60eef0de,,,141-32-2; 141-32-2,
butyl benzyl phthalate,000085-68-7,,,kg,Element or Compound,,,Emissions/air/unspecified,8195ba70-bffc-47c6-baa0-88a7cbdeaaf1,,,85-68-7; 85-68-7,
caprolactam,000105-60-2,,,kg,Element or Compound,,,Emissions/air/unspecified,2e23901a-1d06-44b9-8d4b-5efdf0b0ae29,,,34876-18-1; 9012-16-2; 169297-53-4; 105-60-2; 105-60-2,
carbon disulfide,000075-15-0,,,kg,Element or Compound,,,Emissions/air/unspecified,dcec81ff-ddf8-46da-8a94-fee8cf616511,,,75-15-0; 12539-80-9; 75-15-0,
chlorobenzene,000108-90-7,,,kg,Element or Compound,,,Emissions/air/unspecified,075842cb-51a4-4e49-adb5-66052c26b34b,,,59164-11-3; 108-90-7; 68411-45-0; 59164-10-2; 13122-34-4; 108-90-7,
chloroform,000067-66-3,,,kg,Element or Compound,,,Emissions/air/unspecified,f7ebc45a-5262-499b-9b8c-d5452e419879,,,8013-54-5; 67-66-3; 67-66-3,
chromium VI,018540-29-9,,,kg,Element or Compound,,,Emissions/air/unspecified,04d87813-6624-499e-88a6-d190bcb4786f,,,,
"cis-1,2-dichloroethylene",000156-59-2,,,kg,Element or Compound,,,Emissions/air/unspecified,21b72f0e-70ac-4310-ba6d-e99866c0b6aa,,,156-59-2; 156-59-2,
cresol,001319-77-3,,,kg,Element or Compound,,,Emissions/air/unspecified,9d3ebfb3-7e51-4a5d-9680-df9f602d476c,,,,
cumene,000098-82-8,,,kg,Element or Compound,,,Emissions/air/unspecified,bb6b0079-c4b8-4e0b-8972-211d475eab5d,,,68936-98-1; 101316-43-2; 98-82-8; 97095-85-7; 68411-37-0; 97732-82-6; 68333-89-1; 98-82-8,
dazomet,000533-74-4,,,kg,Element or Compound,,,Emissions/air/unspecified,7677c266-93e0-42eb-b2db-41d6e2b58e81,,,533-74-4; 533-74-4,
decabromophenyl ether,001163-19-5,,,kg,Element or Compound,,,Emissions/air/unspecified,74bbe201-dce3-4c0c-b7a1-0034ddb064b9,,,1163-19-5; 562099-68-7; 1163-19-5,
dibutyl phthalate,000084-74-2,,,kg,Element or Compound,,,Emissions/air/unspecified,aad4b016-c832-47fe-91b0-4bd4778b707c,,,84-74-2; 84-74-2,
dichloromethane,000075-09-2,,,kg,Element or Compound,,,Emissions/air/unspecified,86ce0dd4-d8aa-4a48-91ae-a41055fcc2d9,,,75-09-2; 75-09-2,
dichlorvos,000062-73-7,,,kg,Element or Compound,,,Emissions/air/unspecified,e0b4a359-99e5-44bc-b0f1-86bfcedb3640,,,62-73-7; 62-73-7,
dimethoate,000060-51-5,,,kg,Element or Compound,,,Emissions/air/unspecified,ef19824a-4234-45a4-9d39-9974c2832ca0,,,60-51-5; 60-51-5,
dimethyl formamide,000068-12-2,,,kg,Element or Compound,,,Emissions/air/unspecified,8847592d-26be-45e3-b730-8963cc98fced,,,68-12-2; 68-12-2,
dimethyl terephthalate,000120-61-6,,,kg,Element or Compound,,,Emissions/air/unspecified,8cdbc09a-42b9-4830-aafb-08d66da08274,,,120-61-6; 120-61-6,
diphenyl amine,000122-39-4,,,kg,Element or Compound,,,Emissions/air/unspecified,f24be22f-aac7-4735-a9dc-3639597ddbd1,,,99234-91-0; 122-39-4; 122-39-4,
di-sec-octyl phthalate,000117-81-7,,,kg,Element or Compound,,,Emissions/air/unspecified,73a77960-887c-4431-a0e7-430658bf925d,,,82208-43-3; 50885-87-5; 117-81-7; 8033-53-2; 15495-94-0; 117-81-7,
divinyl benzene,001321-74-0,,,kg,Element or Compound,,,Emissions/air/unspecified,1d01197b-2975-4010-aa9a-ece05ef602ff,,,1321-74-0; 9003-69-4; 91-14-5; 1321-74-0,
epichlorohydrin,000106-89-8,,,kg,Element or Compound,,,Emissions/air/unspecified,993e3d6c-75fe-4d05-8000-10a596219fc0,,,83385-55-1; 13403-37-7; 56227-39-5; 106-89-8; 9009-12-5; 106-89-8,
ethyl acrylate,000140-88-5,,,kg,Element or Compound,,,Emissions/air/unspecified,b4aa2cb3-a214-4f60-a4ae-60d311a5dc93,,,140-88-5; 140-88-5,
ethyl benzene,000100-41-4,,,kg,Element or Compound,,,Emissions/air/unspecified,b3134f05-de55-4f36-a3d7-f5918685a590,,,100-41-4; 70955-17-8; 68908-88-3; 27536-89-6; 287399-33-1; 158507-69-8; 20302-26-5; 100-41-4,
ethylene oxide,000075-21-8,,,kg,Element or Compound,,,Emissions/air/unspecified,72663fcd-430d-4349-b9e5-42838fac522d,,,11104-97-5; 75-21-8,
ethyleneimine,000151-56-4,,,kg,Element or Compound,,,Emissions/air/unspecified,277fc800-19a2-4f68-87d6-80de2de4aaec,,,68130-99-4; 68130-98-3; 9002-98-6; 151-56-4,
fenitrothion,000122-14-5,,,kg,Element or Compound,,,Emissions/air/unspecified,edf6513f-2712-4fd1-bdea-56963ab63b09,,,122-14-5; 122-14-5,
fenthion,000055-38-9,,,kg,Element or Compound,,,Emissions/air/unspecified,5ae389e4-00ad-4de8-a6f9-504903e739e4,,,55-38-9; 55-38-9,
formaldehyde,000050-00-0,,,kg,Element or Compound,,,Emissions/air/unspecified,cf5e862b-e77c-4544-b893-afdeac23bb7d,,,4906-87-0; 35907-63-2; 30525-89-4; 50-00-0,
glyoxal,000107-22-2,,,kg,Element or Compound,,,Emissions/air/unspecified,c00e36f9-fbb7-43e9-af68-94e826204355,,,9005-91-8; 107-22-2; 40094-65-3; 107-22-2,
hexamethylene diamine,000124-09-4,,,kg,Element or Compound,,,Emissions/air/unspecified,24e654b3-afce-401f-b30e-c6f570def218,,,73398-58-0; 115797-51-8; 124-09-4; 124-09-4,
hexane,000110-54-3,,,kg,Element or Compound,,,Emissions/air/unspecified,a25ed5d7-b533-4643-bf7e-30aabc2322cf,,,32740-20-8; 110-54-3; 68476-44-8; 92112-69-1; 110-54-3,
HFC-125,000354-33-6,,,kg,Element or Compound,,,Emissions/air/unspecified,b7056da1-6096-4bca-bbe6-711c6cf13eb8,,,87458-21-7; 354-33-6,
HFC-152a,000075-37-6,,,kg,Element or Compound,,,Emissions/air/unspecified,6781f7db-4acd-4eff-ae34-78461d202601,,,75-37-6,
HFC-23,000075-46-7,,,kg,Element or Compound,,,Emissions/air/unspecified,25ccfc91-51dd-4d09-b1fd-69b9552bcaf8,,,75-46-7,
HFC-32,000075-10-5,,,kg,Element or Compound,,,Emissions/air/unspecified,b0621b86-3511-47df-b1da-738bae7e0d20,,,2154-59-8; 75-10-5,
hydrazine,000302-01-2,,,kg,Element or Compound,,,Emissions/air/unspecified,4ae4b97e-2b6e-4aa2-9d2a-0df51a66bbc6,,,13762-95-3; 302-01-2,
isobutyraldehyde,000078-84-2,,,kg,Element or Compound,,,Emissions/air/unspecified,7c10d001-bb4e-40cf-b332-8000b5d4f052,,,78-84-2; 78-84-2,
isoprene,000078-79-5,,,kg,Element or Compound,,,Emissions/air/unspecified,0c8ff8e2-1b59-422c-a535-7e484bba34d5,,,78-79-5; 68441-58-7; 9006-04-6; 78-79-5,
maleic anhydride,000108-31-6,,,kg,Element or Compound,,,Emissions/air/unspecified,b92f00ab-827c-4ba6-b852-e491a8452597,,,108-31-6; 68261-15-4; 24937-72-2; 108-31-6,
ethylmercaptan,000075-08-1,,,kg,Element or Compound,,,Emissions/air/unspecified,3fcdd2e5-d4f9-4859-bc70-85bb513e6233,,,75-08-1,
methacrylate,018358-13-9,,,kg,Element or Compound,,,Emissions/air/unspecified,a6eb64e8-2be2-4e75-b635-42ff06db1155,,,18358-13-9,
methacrylic acid,000079-41-4,,,kg,Element or Compound,,,Emissions/air/unspecified,d3619b55-523a-4185-ac86-ce8bc48b6070,,,92140-95-9; 79-41-4; 25087-26-7; 79-41-4,
methyl methacrylate,000080-62-6,,,kg,Element or Compound,,,Emissions/air/unspecified,f676f201-3f26-4dad-a85f-463cf04761d2,,,80-62-6; 9065-11-6; 80-62-6,
monoethanolamine,000141-43-5,,,kg,Element or Compound,,,Emissions/air/unspecified,4a66ca8f-12f9-450a-af3d-d1f9551b9af4,,,85047-08-1; 141-43-5; 33598-78-6; 141-43-5,
naphthalene,000091-20-3,,,kg,Element or Compound,,,Emissions/air/unspecified,bd462673-42fe-4261-8ada-aed219941508,,,72931-45-4; 25135-16-4; 1683-98-3; 91-20-3; 91-20-3,
nickel compounds,,,,kg,Groups of Chemicals ,,,Emissions/air/unspecified,fbdf78e7-080d-464b-bfd1-14eb90e72786,,,,
nitrobenzene,000098-95-3,,,kg,Element or Compound,,,Emissions/air/unspecified,28730f6b-22e7-4ce1-9f48-a8f9056a7c4e,,,98-95-3; 26969-40-4; 98-95-3,
nonylphenol,025154-52-3,,,kg,Element or Compound,,,Emissions/air/unspecified,89155dae-7284-4d05-b6b2-86dca63e5134,,,,
o-phenylphenol,000090-43-7,,,kg,Element or Compound,,,Emissions/air/unspecified,f37bad20-2b21-46c5-b8ff-3db9d075d9cd,,,61788-42-9; 90-43-7; 90-43-7,
phenol,000108-95-2,,,kg,Element or Compound,,,Emissions/air/unspecified,5890c1ca-e6d2-4646-984c-21e67ece30a5,,,29809-11-8; 73607-76-8; 63496-48-0; 61788-41-8; 108-95-2; 27073-41-2; 108-95-2,
phthalic anhydride,000085-44-9,,,kg,Element or Compound,,,Emissions/air/unspecified,aa2db164-ac23-4938-8b8b-b7a38d0460ba,,,85-44-9; 68411-80-3; 85-44-9,
propargite,002312-35-8,,,kg,Element or Compound,,,Emissions/air/unspecified,5ad5a12a-3ecc-4083-8fcd-2e0313b39fef,,,2312-35-8; 2312-35-8,
