Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,,Second CAS
Monochloroethane,000075-00-3,,,kg,chemical,,,"water/ground-, long-term",48cb6314-1cbe-4ab1-9374-00720b682531,,,7371-46-2; 25854-33-5; 23072-56-2; 16520-13-1; 19199-91-8; 68411-72-3; 75-00-3
Monochloroethane,000075-00-3,,,kg,chemical,,,water/ocean,944e2b6d-7a4e-4d37-875d-12e9ab746375,,,7371-46-2; 25854-33-5; 23072-56-2; 16520-13-1; 19199-91-8; 68411-72-3; 75-00-3
Monochloroethane,000075-00-3,,,kg,chemical,,,water/surface water,aca00a43-1ff9-489e-8fc6-00d2551eece8,,,7371-46-2; 25854-33-5; 23072-56-2; 16520-13-1; 19199-91-8; 68411-72-3; 75-00-3
Monochloroethane,000075-00-3,,,kg,chemical,,,water/unspecified,60340c7f-e9ce-474f-ac08-a6d4d9f864fc,,,7371-46-2; 25854-33-5; 23072-56-2; 16520-13-1; 19199-91-8; 68411-72-3; 75-00-3
Monocrotophos,006923-22-4,,dimethyl (E)-1-methyl-2-(methylcarbamoyl)vinyl phosphate,kg,chemical,,,soil/agricultural,33456751-d78b-465d-8635-52d71e77cf54,,,6923-22-4
Monoethanolamine,000141-43-5,,,kg,chemical,,,"air/low population density, long-term",7d0a70b2-a645-49a1-baa2-26b1c782f17c,,,85047-08-1; 141-43-5; 33598-78-6; 141-43-5
Monoethanolamine,000141-43-5,,,kg,chemical,,,air/lower stratosphere + upper troposphere,e4ff4151-febe-4c3f-bfaf-924d6f7bf101,,,85047-08-1; 141-43-5; 33598-78-6; 141-43-5
Monoethanolamine,000141-43-5,,,kg,chemical,,,air/non-urban air or from high stacks,54fbc219-056c-4156-ae4f-f3a5d598665f,,,85047-08-1; 141-43-5; 33598-78-6; 141-43-5
Monoethanolamine,000141-43-5,,,kg,chemical,,,air/unspecified,9f550c00-0f0f-45e7-a29c-a450752d4c7a,,,85047-08-1; 141-43-5; 33598-78-6; 141-43-5
Monoethanolamine,000141-43-5,,,kg,chemical,,,air/urban air close to ground,b9f74a13-1d9c-444e-ba61-1ea1abac70b7,,,85047-08-1; 141-43-5; 33598-78-6; 141-43-5
